stage,run_id,arm,trust,memory,controller,core,sampling_seed,prompt_variant,source,note,arm_key,config_key,eval_rows,first_return_date,last_return_date,net_compounded_return_pct,cumulative_net_log_return,mean_daily_net_log_return_bps,annualized_volatility_pct,annualized_sharpe_rf_zero,annualized_sortino_threshold_zero,net_cagr_pct,maximum_drawdown_pct,expected_shortfall_95_daily_loss_pct,mean_btc_exposure_pct,turnover_sum,cost_fraction_sum_pct,full_period_rows,accounting_max_abs_error
6.1,20260907T012534Z,stage61_continuous,adaptive,expanding,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_1_LLAMA70B_CONTINUOUS_MEMORY_AGENT_EXPERT_V1/artifacts/20260907T012534Z/continuous_2021_2025/03_DAILY_TRACE.csv,,6.1:stage61_continuous,trust=adaptive|memory=expanding|controller=on|core=original,1244,2022-01-01,2025-05-28,69.686956339534717,0.52878512024278601,4.2506842463246466,24.3823936311111,0.75856817786180042,1.1284139603757215,16.795720256715892,37.086594603711482,2.9215864285022279,44.983922829582006,11.520485531840041,1.1520485531840041,1608,2.2204460492503131e-16
6.2,20260908T055052711433762Z,adaptive_memory,adaptive,expanding,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_2_LLAMA70B_MATCHED_MEMORY_ABLATION_V1/artifacts/20260908T055052711433762Z/03_DAILY_TRACE.csv,,6.2:adaptive_memory,trust=adaptive|memory=expanding|controller=on|core=original,1244,2022-01-01,2025-05-28,67.730394132337906,0.51718770751810028,4.1574574559332822,24.353996199385357,0.74518912918329261,1.1068927101781472,16.398694496199766,37.086594603711482,2.9232989664381894,44.883440514469456,11.380187421674508,1.138018742167451,1608,2.2204460492503131e-16
6.2,20260908T055052711433762Z,adaptive_no_memory,adaptive,none,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_2_LLAMA70B_MATCHED_MEMORY_ABLATION_V1/artifacts/20260908T055052711433762Z/03_DAILY_TRACE.csv,,6.2:adaptive_no_memory,trust=adaptive|memory=none|controller=on|core=original,1244,2022-01-01,2025-05-28,67.765485042714104,0.51739689584309823,4.1591390341085068,24.374338134404564,0.745022618564671,1.1066067428073838,16.405843881998052,37.086594603711482,2.9233237709842825,44.939710610932472,11.375047849137351,1.1375047849137352,1608,2.2204460492503131e-16
6.3,20260909T013716356200839Z,fixed_memory,fixed,expanding,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_3_LLAMA70B_FIXED_TRUST_MEMORY_ABLATION_V1/artifacts/20260909T013716356200839Z/03_DAILY_TRACE.csv,,6.3:fixed_memory,trust=fixed|memory=expanding|controller=on|core=original,1244,2022-01-01,2025-05-28,68.624681620102194,0.52250524044376712,4.2002028974579346,23.925889706027125,0.76073505207190306,1.132122526776252,16.580567069854656,36.253333512241234,2.8572428482208245,44.457395498392287,11.094296837936238,1.1094296837936237,1608,2.2204460492503131e-16
6.3,20260909T013716356200839Z,fixed_no_memory,fixed,none,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_3_LLAMA70B_FIXED_TRUST_MEMORY_ABLATION_V1/artifacts/20260909T013716356200839Z/03_DAILY_TRACE.csv,,6.3:fixed_no_memory,trust=fixed|memory=none|controller=on|core=original,1244,2022-01-01,2025-05-28,67.852057222523186,0.51791279367814502,4.1632861228146707,23.958578218379458,0.75439512837477951,1.1220894465081284,16.42347749175913,36.253333512241234,2.8619108658465677,44.509646302250808,10.406163859997374,1.0406163859997375,1608,2.2204460492503131e-16
6.4,20260909T114202240674964Z,llama_frozen_W,adaptive,expanding,on,frozen_W,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_4_COMPONENT_SUITE_V1/artifacts/20260909T114202240674964Z/arms/llama_frozen_W/DAILY_LEDGER.csv,,6.4:llama_frozen_W,trust=adaptive|memory=expanding|controller=on|core=frozen_W,1244,2022-01-01,2025-05-28,77.384235058107748,0.57314801329876053,4.6072991422729945,26.781618874051173,0.76214412450949676,1.1331444408364624,18.326977389058261,39.702871359078109,3.1969629456444015,49.59807073954984,8.8390796451421796,0.88390796451421794,1608,2.211772431870429e-16
6.4,20260909T114202240674964Z,llama_hard_allocator,adaptive,expanding,on,hard_allocator,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_4_COMPONENT_SUITE_V1/artifacts/20260909T114202240674964Z/arms/llama_hard_allocator/DAILY_LEDGER.csv,,6.4:llama_hard_allocator,trust=adaptive|memory=expanding|controller=on|core=hard_allocator,1244,2022-01-01,2025-05-28,67.717491634756215,0.51711078053101522,4.156839071792727,24.389890278662346,0.74435316657736139,1.1060749988585481,16.396065489019211,36.901861830080939,2.9224763394173605,44.975884244372985,11.492783616428174,1.1492783616428175,1608,2.2204460492503131e-16
6.4,20260909T114202240674964Z,llama_memory_current_year,adaptive,current_year,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_4_COMPONENT_SUITE_V1/artifacts/20260909T114202240674964Z/arms/llama_memory_current_year/DAILY_LEDGER.csv,,6.4:llama_memory_current_year,trust=adaptive|memory=current_year|controller=on|core=original,1244,2022-01-01,2025-05-28,68.442770582149024,0.52142586565141658,4.1915262512171756,24.327590328802135,0.75084539067563849,1.1160832777181284,16.543626851026968,37.086594603711482,2.9167740430219706,44.855305466237944,11.683908863062001,1.1683908863062005,1608,2.2204460492503131e-16
6.4,20260909T114202240674964Z,llama_memory_frozen2021,adaptive,frozen2021,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_4_COMPONENT_SUITE_V1/artifacts/20260909T114202240674964Z/arms/llama_memory_frozen2021/DAILY_LEDGER.csv,,6.4:llama_memory_frozen2021,trust=adaptive|memory=frozen2021|controller=on|core=original,1244,2022-01-01,2025-05-28,69.902508459309999,0.5300546069087021,4.2608891230603065,24.373461074242257,0.76028763005856881,1.1309404234566365,16.839262004475049,37.086594603711482,2.9219414359426463,44.963826366559488,11.615378755320355,1.1615378755320356,1608,2.2204460492503131e-16
6.4,20260909T114202240674964Z,llama_memory_pooled,adaptive,pooled,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_4_COMPONENT_SUITE_V1/artifacts/20260909T114202240674964Z/arms/llama_memory_pooled/DAILY_LEDGER.csv,,6.4:llama_memory_pooled,trust=adaptive|memory=pooled|controller=on|core=original,1244,2022-01-01,2025-05-28,68.563243630983322,0.52214082650603177,4.197273524968101,24.342973619768173,0.75139044772921437,1.1167121925163455,16.568094160870551,37.086594603711482,2.9185539074109172,44.867363344051455,11.292923908745035,1.1292923908745036,1608,2.2204460492503131e-16
