config_key,realizations,stages,seeds,prompt_variants,mean_net_compounded_return_pct,min_pct,max_pct,spread_pp,sd_pct,mean_sharpe,mean_max_drawdown_pct,cross_run_average_is_matched
trust=adaptive|memory=current_year|controller=on|core=original,1,6.4,16061,frozen_llama_role,68.442770582149024,68.442770582149024,68.442770582149024,0,,0.75084539067563849,37.086594603711482,True
trust=adaptive|memory=expanding|controller=off|core=original,2,"6.4,ISO","16061,42","frozen_llama_role,model_neutralized_frozen_v1",66.188196345498795,65.988333654254632,66.388059036742959,0.39972538248832734,0.28264852856988271,0.73573505857961008,36.6127061949473,False
trust=adaptive|memory=expanding|controller=on|core=frozen_W,1,6.4,16061,frozen_llama_role,77.384235058107748,77.384235058107748,77.384235058107748,0,,0.76214412450949676,39.702871359078109,True
trust=adaptive|memory=expanding|controller=on|core=hard_allocator,1,6.4,16061,frozen_llama_role,67.717491634756215,67.717491634756215,67.717491634756215,0,,0.74435316657736139,36.901861830080939,True
trust=adaptive|memory=expanding|controller=on|core=original,3,"6.1,6.2,ISO","16061,42","frozen_llama_role,model_neutralized_frozen_v1",69.01097677353907,67.730394132337906,69.686956339534717,1.9565622071968107,1.1095911754194343,0.75410290246083955,37.086594603711482,False
trust=adaptive|memory=expanding|controller=on|core=uniform_allocator,1,6.4,16061,frozen_llama_role,68.474986420801216,68.474986420801216,68.474986420801216,0,,0.7565665778734797,36.36135114531907,True
trust=adaptive|memory=frozen2021|controller=on|core=original,1,6.4,16061,frozen_llama_role,69.902508459309999,69.902508459309999,69.902508459309999,0,,0.76028763005856881,37.086594603711482,True
trust=adaptive|memory=none|controller=off|core=original,1,ISO,42,model_neutralized_frozen_v1,66.141010019150386,66.141010019150386,66.141010019150386,0,,0.73299758953701644,36.542172919070659,True
trust=adaptive|memory=none|controller=on|core=original,2,"6.2,ISO","16061,42","frozen_llama_role,model_neutralized_frozen_v1",68.338372983893095,67.765485042714104,68.911260925072085,1.1457758823579809,0.81018589613532821,0.74889300122660107,37.086594603711482,False
trust=adaptive|memory=pooled|controller=on|core=original,1,6.4,16061,frozen_llama_role,68.563243630983322,68.563243630983322,68.563243630983322,0,,0.75139044772921437,37.086594603711482,True
trust=fixed|memory=expanding|controller=off|core=original,1,ISO,42,model_neutralized_frozen_v1,63.983603125478417,63.983603125478417,63.983603125478417,0,,0.73001356413135376,36.085036481718781,True
trust=fixed|memory=expanding|controller=on|core=original,4,"6.3,7,7,ISO","16061,42","frozen_llama_role,model_neutralized_frozen_v1",67.417898857735736,63.749046632435757,68.99071598278293,5.2416693503471734,2.4617964115601612,0.75234807661523118,36.276087739566123,False
trust=fixed|memory=none|controller=off|core=original,1,ISO,42,model_neutralized_frozen_v1,64.215683046579016,64.215683046579016,64.215683046579016,0,,0.73107731753181937,36.052310262357388,True
trust=fixed|memory=none|controller=on|core=original,4,"6.3,7,7,ISO","16061,42","frozen_llama_role,model_neutralized_frozen_v1",67.433671105923281,65.953753616219331,68.076816362427422,2.1230627462080918,0.99228448246500334,0.75137427987614624,36.276087739566123,False
