regime,policy,rows,terminal_growth,annualized_return,annualized_volatility,sharpe,maximum_drawdown,daily_loss_cvar_95,mean_exposure,total_turnover
bear,RECORDED_AGENT_DEPLOYED,445,-0.08996273403370347,-0.07445758826336746,0.17347929906291926,-0.35938071896068063,0.16769518038453668,0.021899037086780718,0.2258426966292135,2.3298522829216113
bear,RECORDED_AGENT_CORE_NO_SAFETY_LAYER,445,-0.08996273403370347,-0.07445758826336746,0.17347929906291926,-0.35938071896068063,0.16769518038453668,0.021899037086780718,0.2258426966292135,2.3298522829216113
bear,DISTILLED_STATIC_CORE_NO_SAFETY_LAYER,445,-0.0794757919973621,-0.06571239186919298,0.1749580649348232,-0.30113362534519833,0.16769518038453668,0.021899037086780718,0.25,2.1638604111724398
bear,CURRENT_RAMOE_CORE_NO_SAFETY_LAYER,445,-0.16016692156599466,-0.1334799483117316,0.3216302877072714,-0.2847290380930652,0.284999510267842,0.04080596545077934,0.44379249033969315,3.359122844065257
bull,RECORDED_AGENT_DEPLOYED,323,0.6307518164545345,0.738478229665501,0.3049578057057292,1.9657416235539813,0.12817436724554676,0.03195406182548431,0.4894736842105263,5.43338545475001
bull,RECORDED_AGENT_CORE_NO_SAFETY_LAYER,323,0.7227967578598595,0.8498419721286399,0.31793901321746776,2.0931156143139558,0.12880449258660576,0.03215391627661137,0.4938080495356037,5.942710180251046
bull,DISTILLED_STATIC_CORE_NO_SAFETY_LAYER,323,0.7243948634132245,0.8517825009016773,0.31636783465060336,2.1054983640945917,0.1288044925866053,0.0321658045014767,0.5,6.262527127532263
bull,CURRENT_RAMOE_CORE_NO_SAFETY_LAYER,323,0.6899566697537718,0.8100177040794458,0.30442676416195547,2.101032351104309,0.1288044925866053,0.031149565438321158,0.47147073890249624,2.3769068692017523
mix,RECORDED_AGENT_DEPLOYED,326,-0.04517814743447801,-0.050478013303562275,0.1445484593643145,-0.28608739942559425,0.17116461226144042,0.019659079272455086,0.23849693251533743,4.137359056747231
mix,RECORDED_AGENT_CORE_NO_SAFETY_LAYER,326,-0.04517814743447801,-0.050478013303562275,0.1445484593643145,-0.28608739942559425,0.17116461226144042,0.019659079272455086,0.23849693251533743,4.137359056747231
mix,DISTILLED_STATIC_CORE_NO_SAFETY_LAYER,326,-0.0015973772141318898,-0.001789527290557258,0.1474526466483758,0.061512472755852005,0.18374867892853475,0.019659079272455086,0.25,5.182912930241955
mix,CURRENT_RAMOE_CORE_NO_SAFETY_LAYER,326,-0.020648886666463473,-0.023106053514045488,0.2851098015484999,0.06079784407261589,0.329545579071043,0.03807445074346325,0.4762997217880985,2.0713682205410087
transition_day,RECORDED_AGENT_DEPLOYED,54,0.04684533483640152,0.3629601858233291,0.15402658996933039,2.0865329207374876,0.035353867348876133,0.014480198139601459,0.2824074074074074,4.40565780324771
transition_day,RECORDED_AGENT_CORE_NO_SAFETY_LAYER,54,0.04684533483640152,0.3629601858233291,0.15402658996933039,2.0865329207374876,0.035353867348876133,0.014480198139601459,0.2824074074074074,4.40565780324771
transition_day,DISTILLED_STATIC_CORE_NO_SAFETY_LAYER,54,0.06458990984612734,0.5270679614038523,0.1899854077819914,2.3221878659298443,0.0461635045118749,0.018672091690167765,0.32407407407407407,8.13995132616801
transition_day,CURRENT_RAMOE_CORE_NO_SAFETY_LAYER,54,0.09472076822711561,0.8443508557260895,0.26914111867821366,2.4072758532660234,0.04183665804617276,0.023533826763744086,0.47131764126987685,0.5157420620135782
