scope,forecast_regime,days,action_disagreement_days,exposure_disagreement_days,action_disagreement_same_exposure_days,memory_valid_days,memory_invalid_fallback_days,memory_mean_exposure,memory_mean_beta,memory_total_turnover,memory_cited_memory_count,memory_desired_exposure_recorded_days,memory_projection_modified_desired_exposure_days,memory_mean_absolute_projection_change,memory_btc_days,memory_cash_days,memory_abstain_days,no_memory_valid_days,no_memory_invalid_fallback_days,no_memory_mean_exposure,no_memory_mean_beta,no_memory_total_turnover,no_memory_cited_memory_count,no_memory_desired_exposure_recorded_days,no_memory_projection_modified_desired_exposure_days,no_memory_mean_absolute_projection_change,no_memory_btc_days,no_memory_cash_days,no_memory_abstain_days
FULL,ALL,1608,99,8,91,1608,0,0.4496579601990051,0.05343594527363184,15.555316752778339,3474,1608,1608,0.01985460786119423,372,501,735,1608,0,0.4500932835820896,0.05343594527363184,15.550177180241182,0,1608,1608,0.01993691651621269,462,494,652
FULL,bull,531,92,8,84,531,0,0.482015065913371,0.06779661016949151,6.610837205791267,367,531,531,0.016885425754670037,372,0,159,531,0,0.4833333333333333,0.06779661016949151,6.431186825502445,0,531,531,0.01702685859705314,462,0,69
FULL,bear,503,7,0,7,503,0,0.4042743538767396,0.04219681908548708,4.363218830674094,2159,503,503,0.026978245795324717,0,501,2,503,0,0.4042743538767396,0.04219681908548708,4.363218830674094,0,503,503,0.027092065831038962,0,494,9
FULL,mix,574,0,0,0,574,0,0.4594947735191638,0.049999999999999996,4.581260716312977,948,574,574,0.016358868867634487,0,0,574,574,0,0.4594947735191638,0.049999999999999996,4.755771524064642,0,574,574,0.016358868867634487,0,0,574
POST2021,ALL,1244,32,8,24,1244,0,0.4488344051446945,0.0577371382636656,11.38018742167451,2736,1244,1244,0.01483190626006619,313,378,553,1244,0,0.4493971061093247,0.0577371382636656,11.375047849137353,0,1244,1244,0.014860240621055778,337,372,535
POST2021,bull,388,26,8,18,388,0,0.4840206185567011,0.08698453608247422,4.5254258432910905,331,388,388,0.01363192046359434,313,0,75,388,0,0.4858247422680413,0.08698453608247422,4.345775463002269,0,388,388,0.01360622299986704,337,0,51
POST2021,bear,380,6,0,6,380,0,0.405,0.037565789473684205,3.1225440692567554,1641,380,380,0.016089000500717363,0,378,2,380,0,0.405,0.037565789473684205,3.1225440692567554,0,380,380,0.016207996713867984,0,372,8
POST2021,mix,476,0,0,0,476,0,0.45514705882352946,0.05000000000000001,3.7322175091266634,764,476,476,0.014806483313813321,0,0,476,476,0,0.45514705882352946,0.05000000000000001,3.9067283168783273,0,476,476,0.014806483313813321,0,0,476
2021,ALL,364,67,0,67,364,0,0.4524725274725276,0.03873626373626374,4.17512933110383,738,364,364,0.03702010454197246,59,123,182,364,0,0.4524725274725276,0.03873626373626374,4.17512933110383,0,364,364,0.03728687479526544,125,122,117
2021,bull,143,66,0,66,143,0,0.4765734265734267,0.015734265734265736,2.085411362500177,36,143,143,0.025713118432553746,59,0,84,143,0,0.4765734265734267,0.015734265734265736,2.085411362500177,0,143,143,0.026308023713893736,125,0,18
2021,bear,123,1,0,1,123,0,0.4020325203252033,0.056504065040650406,1.240674761417338,518,123,123,0.06061981662419296,0,123,0,123,0,0.4020325203252033,0.056504065040650406,1.240674761417338,0,123,123,0.06071764521742083,0,122,1
2021,mix,98,0,0,0,98,0,0.4806122448979592,0.049999999999999996,0.8490432071863145,184,98,98,0.023899027271908718,0,0,98,98,0,0.4806122448979592,0.049999999999999996,0.8490432071863145,0,98,98,0.023899027271908718,0,0,98
2022,ALL,365,4,0,4,365,0,0.4152054794520548,0.04493150684931507,3.3723838141544604,1463,365,365,0.017392112125062822,0,321,44,365,0,0.4152054794520548,0.04493150684931507,3.3723838141544604,0,365,365,0.0175159985935484,0,317,48
2022,bear,321,4,0,4,321,0,0.4060747663551403,0.04423676012461059,2.6847693184289385,1403,321,321,0.017099582565995208,0,321,0,321,0,0.4060747663551403,0.04423676012461059,2.6847693184289385,0,321,321,0.017240450357263855,0,317,4
2022,mix,44,0,0,0,44,0,0.4818181818181817,0.04999999999999998,0.6876144957255215,60,44,44,0.019526248226442475,0,0,44,44,0,0.4818181818181817,0.04999999999999998,0.6876144957255215,0,44,44,0.019526248226442475,0,0,44
2023,ALL,365,18,0,18,365,0,0.46246575342465757,0.03157534246575342,2.4706555683148124,461,365,365,0.017605564542135854,148,1,216,365,0,0.46246575342465757,0.03157534246575342,2.4706555683148124,0,365,365,0.017605564542135854,164,1,200
2023,bull,180,18,0,18,180,0,0.4583333333333334,0.012499999999999995,0.9922197671416537,160,180,180,0.01777863569273919,148,0,32,180,0,0.4583333333333334,0.012499999999999995,0.9922197671416537,0,180,180,0.01777863569273919,164,0,16
2023,bear,1,0,0,0,1,0,0.35000000000000003,0.07500000000000001,0.0009575903181434087,5,1,1,0.01994503391920399,0,1,0,1,0,0.35000000000000003,0.07500000000000001,0.0009575903181434087,0,1,1,0.01994503391920399,0,1,0
2023,mix,184,0,0,0,184,0,0.4671195652173914,0.049999999999999996,1.477478210855015,296,184,184,0.017423541300365917,0,0,184,184,0,0.4671195652173914,0.049999999999999996,1.477478210855015,0,184,184,0.017423541300365917,0,0,184
