scope,forecast_regime,strategy,days,arithmetic_mean_daily,geometric_mean_daily,daily_volatility,annualized_volatility,sharpe_zero_cash_rate,daily_loss_cvar95,positive_day_fraction,log_growth_contribution
FULL,bull,MEMORY,531,0.0017592841631784142,0.001646828499087846,0.01505884907668051,0.287797417807347,2.2327460249523883,0.030200369673396583,0.5216572504708098,0.8737466748606041
FULL,bear,MEMORY,503,0.00015637774211600927,5.0855333462685545e-05,0.014533707953178264,0.27776117542528905,0.20563338350083935,0.034625569139254866,0.4831013916500994,0.025579582308149593
FULL,mix,MEMORY,574,-0.00013098471377188584,-0.00021882361777260669,0.013241004577435626,0.2530556556584636,-0.18905788365288087,0.03269540477986312,0.4912891986062718,-0.12561850125023982
FULL,bull,NO_MEMORY,531,0.0017508138282765569,0.0016370673048959334,0.015144257516867043,0.2894297024805962,2.209464838256828,0.03053574321297318,0.5216572504708098,0.8685719773284138
FULL,bear,NO_MEMORY,503,0.00015637774211600927,5.0855333462685545e-05,0.014533707953178264,0.27776117542528905,0.20563338350083935,0.034625569139254866,0.4831013916500994,0.025579582308149593
FULL,mix,NO_MEMORY,574,-0.00013105796074557664,-0.00021889671776066132,0.013240993924101743,0.2530554520571148,-0.18916375748157288,0.03269540477986312,0.4912891986062718,-0.12566046982863327
FULL,bull,CASH,531,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
FULL,bear,CASH,503,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
FULL,mix,CASH,574,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
FULL,bull,BTC_BUY_AND_HOLD,531,0.0037391337220842374,0.003252314713902689,0.03145247199327965,0.6011043856825176,2.2720156839990064,0.0622302592457303,0.5216572504708098,1.7241768475480297
FULL,bear,BTC_BUY_AND_HOLD,503,0.0005612022730935884,-9.69007930430526e-05,0.03627518625707984,0.6932737609698825,0.2956683806418255,0.08470524751671313,0.4831013916500994,-0.048743460578790976
FULL,mix,BTC_BUY_AND_HOLD,574,-0.0002558494759695211,-0.0006546800473563371,0.02815643857802557,0.5381121941088732,-0.17366085013669205,0.06903114197263002,0.4912891986062718,-0.37590941080878726
FULL,bull,STATIC45_REBALANCED_SECONDARY,531,0.0016772583569269542,0.001577981963760774,0.014153612100791082,0.27049696789659344,2.264789212357323,0.02800951651117767,0.5216572504708098,0.8372480152172844
FULL,bear,STATIC45_REBALANCED_SECONDARY,503,0.00024613522829174643,0.0001131587619163779,0.0163230303959699,0.31195783786861064,0.288182828640531,0.03812256263359351,0.4831013916500994,0.05691563705315662
FULL,mix,STATIC45_REBALANCED_SECONDARY,574,-0.0001198078807999483,-0.0002001751975815879,0.012670523569427468,0.24215289940020965,-0.18071156104498506,0.031070502616273178,0.4912891986062718,-0.11491206506824621
FULL,bull,STATIC50_REBALANCED,531,0.0018641632692969032,0.001741686630925446,0.015726223540360764,0.3005519547828965,2.2654506925517457,0.031121067547866147,0.5216572504708098,0.9240311480548995
FULL,bear,STATIC50_REBALANCED,503,0.00027412586993315823,0.00010993950417923698,0.018136761670071427,0.3466209900540705,0.28885865791759263,0.04235784822895824,0.4831013916500994,0.055296531021247514
FULL,mix,STATIC50_REBALANCED,574,-0.00013264639122612554,-0.00023190335733430949,0.01407833824199826,0.2690583704261854,-0.18006908433511853,0.034522107598768115,0.4912891986062718,-0.13312796411750571
POST2021,bull,MEMORY,388,0.0014384823596494051,0.0013609584985492763,0.012499211157543884,0.23887885969588768,2.199464961155749,0.025247012167000076,0.520618556701031,0.5276928947666153
POST2021,bear,MEMORY,380,5.6122916630714286e-05,-3.446961418526603e-05,0.013479307905421978,0.25760999325094097,0.07957336996395234,0.03265796272383481,0.47368421052631576,-0.013098679144906283
POST2021,mix,MEMORY,476,8.49925878958584e-05,1.6619938155976486e-05,0.011697211244014521,0.2235514264358722,0.13886533055903985,0.027543160915328917,0.4957983193277311,0.00791102482205526
POST2021,bull,NO_MEMORY,388,0.0014274401058754589,0.0013492145694799678,0.012554988714153571,0.23994485329753212,2.1728846920692577,0.025396677474382165,0.520618556701031,0.5231424165793863
POST2021,bear,NO_MEMORY,380,5.6122916630714286e-05,-3.446961418526603e-05,0.013479307905421978,0.25760999325094097,0.07957336996395234,0.03265796272383481,0.47368421052631576,-0.013098679144906283
POST2021,mix,NO_MEMORY,476,8.490426066287833e-05,1.6531767412156206e-05,0.011697198330871197,0.22355117964614174,0.1387211700524414,0.027543160915328917,0.4957983193277311,0.007869056243661784
POST2021,bull,CASH,388,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
POST2021,bear,CASH,380,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
POST2021,mix,CASH,476,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
POST2021,bull,BTC_BUY_AND_HOLD,388,0.00298143124858283,0.002644712780604529,0.02610831483412181,0.49896944675521215,2.1824337554662177,0.05253926468633064,0.520618556701031,1.0247940125021187
POST2021,bear,BTC_BUY_AND_HOLD,380,0.00028055670498410555,-0.0002743596194942948,0.033319115499016914,0.6367787707688218,0.16092454899481373,0.08026679242448254,0.47368421052631576,-0.10427095993243485
POST2021,mix,BTC_BUY_AND_HOLD,476,0.00016433034893601395,-0.00015496817037230192,0.02524749350097362,0.48251784706044065,0.12439262156734426,0.05991666989035882,0.4957983193277311,-0.07377056528962644
POST2021,bull,STATIC45_REBALANCED_SECONDARY,388,0.0013370860074094573,0.0012685663469191202,0.01174874694357253,0.2245363517234666,2.175018256321228,0.02364752450338341,0.520618556701031,0.49189180982984876
POST2021,bear,STATIC45_REBALANCED_SECONDARY,380,0.00012047602971905185,8.351876851240526e-06,0.014993169467515017,0.286542180981201,0.15356855910079995,0.036126038262130324,0.47368421052631576,0.0031736999503142738
POST2021,mix,STATIC45_REBALANCED_SECONDARY,476,6.979039012479032e-05,5.303951502382189e-06,0.011361578865985785,0.2171369832578214,0.11739566245521862,0.02696850599536118,0.4957983193277311,0.00252467421976503
POST2021,bull,STATIC50_REBALANCED,388,0.0014861134611928045,0.0014015620038394581,0.01305415270537804,0.249484633330209,2.1756968934525,0.02627451545753962,0.520618556701031,0.5434253242418754
POST2021,bear,STATIC50_REBALANCED,380,0.00013444118858226887,-3.999033837742438e-06,0.01665910496625503,0.31838073201053757,0.15423246193192516,0.04013940824748512,0.47368421052631576,-0.001519635896881838
POST2021,mix,STATIC50_REBALANCED,476,7.796679431831892e-05,-1.6608442298642568e-06,0.01262394818837599,0.24126277331343146,0.11803466914379783,0.029964382782748,0.4957983193277311,-0.0007905625099161595
2021,bull,MEMORY,143,0.0026297114342920896,0.0024228869622783867,0.02048327109238954,0.39146633973285394,2.4536007413323335,0.03759720016388948,0.5244755244755245,0.34605378009398896
