scope,forecast_regime,days,action_disagreement_days,exposure_disagreement_days,action_disagreement_same_exposure_days,desired_exposure_comparable_days,desired_exposure_disagreement_days,desired_disagreement_same_final_exposure_days,net_return_disagreement_days,memory_valid_days,memory_invalid_fallback_days,memory_mean_exposure,memory_mean_beta,memory_total_turnover,memory_cited_memory_count,memory_desired_exposure_recorded_days,memory_projection_modified_desired_exposure_days,memory_mean_absolute_projection_change,memory_action_headroom_recorded_days,memory_action_headroom_days,memory_chosen_differs_from_own_abstain_exposure_days,memory_retrieved_cross_year_episode_links,memory_retrieved_cross_year_days,memory_btc_days,memory_cash_days,memory_abstain_days,no_memory_valid_days,no_memory_invalid_fallback_days,no_memory_mean_exposure,no_memory_mean_beta,no_memory_total_turnover,no_memory_cited_memory_count,no_memory_desired_exposure_recorded_days,no_memory_projection_modified_desired_exposure_days,no_memory_mean_absolute_projection_change,no_memory_action_headroom_recorded_days,no_memory_action_headroom_days,no_memory_chosen_differs_from_own_abstain_exposure_days,no_memory_retrieved_cross_year_episode_links,no_memory_retrieved_cross_year_days,no_memory_btc_days,no_memory_cash_days,no_memory_abstain_days
FULL,ALL,1608,82,23,59,1608,82,59,43,1608,0,0.4473258706467662,0.05,15.405861682046885,3468,1608,1608,0.019777927537068075,1608,1379,416,2681,889,398,503,707,1608,0,0.44804104477611945,0.05,14.253975593984485,0,1608,1608,0.019730952504184305,1608,1379,439,0,0,466,495,647
FULL,bull,531,74,23,51,531,74,51,42,531,0,0.480225988700565,0.05,5.729788076822635,371,531,531,0.015040206971480119,531,510,273,978,301,398,0,133,531,0,0.482391713747646,0.05,4.535934456924712,0,531,531,0.014894439978992218,531,510,296,0,0,466,0,65
FULL,bear,503,8,0,8,503,8,8,0,503,0,0.39870775347912535,0.05,5.144842472850664,2135,503,503,0.028681047410988713,503,339,143,558,229,0,503,0,503,0,0.39870775347912535,0.05,5.144842472850664,0,503,503,0.028684757987795812,503,339,143,0,0,0,495,8
FULL,mix,574,0,0,0,574,0,0,1,574,0,0.4594947735191638,0.049999999999999996,4.531231132373584,962,574,574,0.016358868867634487,574,530,0,1145,359,0,0,574,574,0,0.4594947735191638,0.049999999999999996,4.573198664209107,0,574,574,0.016358868867634487,574,530,0,0,0,0,0,574
POST2021,ALL,1244,33,13,20,1244,33,20,25,1244,0,0.4445739549839229,0.049999999999999996,11.094296837936234,2729,1244,1244,0.015147853490210618,1244,1183,379,2681,889,316,380,548,1244,0,0.44509646302250805,0.049999999999999996,10.406163859997372,0,1244,1244,0.015137233489819329,1244,1183,392,0,0,338,373,533
POST2021,bull,388,26,13,13,388,26,13,24,388,0,0.47757731958762895,0.049999999999999996,3.5079412013156386,330,388,388,0.013486529568744533,388,388,242,978,301,316,0,72,388,0,0.47925257731958776,0.049999999999999996,2.7778406915412526,0,388,388,0.013509694860789167,388,388,255,0,0,338,0,50
POST2021,bear,380,7,0,7,380,7,7,0,380,0,0.3976315789473685,0.05,3.9041677114333266,1621,380,380,0.017271763715194715,380,333,137,558,229,0,380,0,380,0,0.3976315789473685,0.05,3.9041677114333266,0,380,380,0.017213344205194495,380,333,137,0,0,0,373,7
POST2021,mix,476,0,0,0,476,0,0,1,476,0,0.45514705882352946,0.05000000000000001,3.6821879251872693,778,476,476,0.014806483313813321,476,462,0,1145,359,0,0,476,476,0,0.45514705882352946,0.05000000000000001,3.7241554570227917,0,476,476,0.014806483313813321,476,462,0,0,0,0,0,476
2021,ALL,364,49,10,39,364,49,39,18,364,0,0.45673076923076933,0.04999999999999999,4.311564844110648,739,364,364,0.035601587191712775,364,196,37,0,0,82,123,159,364,0,0.4581043956043957,0.04999999999999999,3.8478117339871134,0,364,364,0.03543036583899207,364,196,47,0,0,128,122,114
2021,bull,143,48,10,38,143,48,38,18,143,0,0.48741258741258753,0.04999999999999999,2.221846875506995,41,143,143,0.019255779225056394,143,122,31,0,0,82,0,61,143,0,0.490909090909091,0.04999999999999999,1.7580937653834605,0,143,143,0.0186516505095012,143,122,41,0,0,128,0,15
2021,bear,123,1,0,1,123,1,1,0,123,0,0.4020325203252033,0.05,1.240674761417338,514,123,123,0.06392924094271,123,6,6,0,0,0,123,0,123,0,0.4020325203252033,0.05,1.240674761417338,0,123,123,0.06412489812916575,123,6,6,0,0,0,122,1
2021,mix,98,0,0,0,98,0,0,0,98,0,0.4806122448979592,0.049999999999999996,0.8490432071863145,184,98,98,0.023899027271908718,98,68,0,0,0,0,0,98,98,0,0.4806122448979592,0.049999999999999996,0.8490432071863145,0,98,98,0.023899027271908718,98,68,0,0,0,0,0,98
2022,ALL,365,4,0,4,365,4,4,0,365,0,0.4123287671232877,0.05,3.6353331783228677,1443,365,365,0.017583405528151186,365,315,101,483,208,0,321,44,365,0,0.4123287671232877,0.05,3.6353331783228677,0,365,365,0.017585130588234826,365,315,101,0,0,0,317,48
2022,bear,321,4,0,4,321,4,4,0,321,0,0.40280373831775707,0.04999999999999999,2.9477186825973463,1383,321,321,0.017317096871687584,321,274,101,359,171,0,321,0,321,0,0.40280373831775707,0.04999999999999999,2.9477186825973463,0,321,321,0.017319058388605115,321,274,101,0,0,0,317,4
2022,mix,44,0,0,0,44,0,0,0,44,0,0.4818181818181817,0.04999999999999998,0.6876144957255215,60,44,44,0.019526248226442475,44,41,0,124,37,0,0,44,44,0,0.4818181818181817,0.04999999999999998,0.6876144957255215,0,44,44,0.019526248226442475,44,41,0,0,0,0,0,44
2023,ALL,365,8,8,0,365,8,0,15,365,0,0.48027397260273974,0.05,3.507032893396244,480,365,365,0.014705065089011128,365,354,159,537,194,159,1,205,365,0,0.48136986301369866,0.05,2.968123351272924,0,365,365,0.014416569024036669,365,354,167,0,0,167,1,197
2023,bull,180,8,8,0,180,8,0,15,180,0,0.4941666666666667,0.04999999999999999,1.9329736600833567,177,180,180,0.011896448369839918,180,180,159,277,99,159,0,21,180,0,0.4963888888888889,0.04999999999999999,1.394064117960037,0,180,180,0.011311442460308374,180,180,167,0,0,167,0,13
2023,bear,1,0,0,0,1,0,0,0,1,0,0.4,0.05,0.0010104178227280936,5,1,1,0.020056451650547258,1,1,0,0,0,0,1,0,1,0,0.4,0.05,0.0010104178227280936,0,1,1,0.020056451650547258,1,1,0,0,0,0,1,0
2023,mix,184,0,0,0,184,0,0,0,184,0,0.4671195652173914,0.049999999999999996,1.573048815490159,298,184,184,0.017423541300365917,184,173,0,260,95,0,0,184,184,0,0.4671195652173914,0.049999999999999996,1.573048815490159,0,184,184,0.017423541300365917,184,173,0,0,0,0,0,184
2024,ALL,366,19,4,15,366,19,15,8,366,0,0.4527322404371586,0.04999999999999999,2.7200028928188678,531,366,366,0.013573133132723637,366,366,63,1080,340,117,21,228,366,0,0.45327868852459025,0.04999999999999999,2.5736350871724065,0,366,366,0.013931610144562383,366,366,67,0,0,130,19,217
2024,bull,153,17,4,13,153,17,13,8,153,0,0.46928104575163404,0.049999999999999996,1.2329009841334235,115,153,153,0.017189850382577195,153,153,59,484,147,117,0,36,153,0,0.47058823529411764,0.049999999999999996,1.0865331784869627,0,153,153,0.01806716159954418,153,153,63,0,0,130,0,23
2024,bear,21,2,0,2,21,2,2,0,21,0,0.39047619047619053,0.05000000000000001,0.42188628280851553,84,21,21,0.017518301827403583,21,21,4,69,21,0,21,0,21,0,0.39047619047619053,0.05000000000000001,0.42188628280851553,0,21,21,0.01737420516726231,21,21,4,0,0,0,19,2
2024,mix,192,0,0,0,192,0,0,0,192,0,0.4463541666666668,0.049999999999999996,1.0652156258769283,332,192,192,0.010259558748265963,192,192,0,527,172,0,0,192,192,0,0.4463541666666668,0.049999999999999996,1.0652156258769283,0,192,192,0.010259558748265963,192,192,0,0,0,0,0,192
2025,ALL,148,2,1,1,148,2,1,2,148,0,0.41587837837837843,0.04999999999999999,1.231927873398256,275,148,148,0.014127508378249432,148,148,56,581,147,40,37,71,148,0,0.4162162162162163,0.04999999999999999,1.2290722432291732,0,148,148,0.013858978310448097,148,148,57,0,0,41,36,71
2025,bull,55,1,1,0,55,1,0,1,55,0,0.4463636363636363,0.049999999999999975,0.3420665570988587,38,55,55,0.008388466501225135,55,55,24,217,55,40,0,15,55,0,0.4472727272727272,0.049999999999999975,0.2972433950942533,0,55,55,0.008025931607280535,55,55,25,0,0,41,0,14
2025,bear,37,1,0,1,37,1,1,0,37,0,0.3567567567567568,0.05000000000000001,0.533552328204737,149,37,37,0.016663279079358263,37,37,32,130,37,0,37,0,37,0,0.3567567567567568,0.05000000000000001,0.533552328204737,0,37,37,0.016128062028881382,37,37,32,0,0,0,36,1
2025,mix,56,0,0,0,56,0,0,1,56,0,0.42499999999999993,0.049999999999999996,0.35630898809466033,88,56,56,0.018088647437094253,56,56,0,234,55,0,0,56,56,0,0.42499999999999993,0.049999999999999996,0.39827651993018304,0,56,56,0.018088647437094253,56,56,0,0,0,0,0,56
