decision_date,return_date,strategy,forecast_regime,asset_simple_return,net_return,gross_return_before_cost,pretrade_btc_fraction,btc_fraction,cash_fraction,turnover,cost_fraction_pretrade_wealth,cost_paid_in_initial_wealth_units,wealth_before,wealth_after,running_peak_wealth,drawdown_from_running_peak
2021-01-01,2021-01-02,MEMORY,bull,0.0965057782894354,0.0334152004434618,0.0337770224013024,0.0,0.35000000000000003,0.6499999999999999,0.35000000000000003,0.00035000000000000005,0.00035000000000000005,1.0,1.0334152004434618,1.0334152004434618,0.0
2021-01-02,2021-01-03,MEMORY,bull,0.0237813458079787,0.011760379551502664,0.01189067290398935,0.37123771769452607,0.5,0.5,0.12876228230547393,0.00012876228230547393,0.00013306489977826894,1.0334152004434618,1.0455685554349692,1.0455685554349692,0.0
2021-01-03,2021-01-04,MEMORY,bull,-0.0284081082803128,-0.014209846157740902,-0.0142040541401564,0.5058754731229337,0.5,0.5,0.005875473122933683,5.875473122933683e-06,6.143209945642759e-06,1.0455685554349692,1.0307111871148669,1.0455685554349692,0.014209846157740902
2021-01-04,2021-01-05,MEMORY,bull,0.0614847014296153,0.03073492487773888,0.03074235071480765,0.49279564183652264,0.5,0.5,0.007204358163477365,7.204358163477365e-06,7.4256125550784365e-06,1.0307111871148669,1.0623900180214874,1.0623900180214874,0.0
2021-01-05,2021-01-06,MEMORY,bull,0.0824235470632364,0.041196246228656364,0.0412117735316182,0.5149127231909547,0.5,0.5,0.014912723190954713,1.4912723190954713e-05,1.584312825958783e-05,1.0623900180214874,1.1061564987947672,1.1061564987947672,0.0
2021-01-06,2021-01-07,MEMORY,bull,0.0724862202798344,0.036222602584458974,0.0362431101399172,0.5197902936651565,0.5,0.5,0.0197902936651565,1.97902936651565e-05,2.1891161950769775e-05,1.1061564987947672,1.1462243660468265,1.1462243660468265,0.0
2021-01-07,2021-01-08,MEMORY,bull,0.0288670609880337,0.014415790339310064,0.01443353049401685,0.5174877448087561,0.5,0.5,0.017487744808756145,1.7487744808756144e-05,2.0044879207005194e-05,1.1462243660468265,1.1627480961895662,1.1627480961895662,0.0
2021-01-08,2021-01-09,MEMORY,bull,-0.0110198944316773,-0.005517022101511948,-0.00550994721583865,0.5071140839000994,0.5,0.5,0.007114083900099377,7.114083900099377e-06,8.271887510973395e-06,1.1627480961895662,1.1563331892443973,1.1627480961895662,0.005517022101512059
2021-01-09,2021-01-10,MEMORY,bull,-0.0488071548295349,-0.02440628004853307,-0.02440357741476745,0.4972297625298448,0.5,0.5,0.0027702374701552013,2.7702374701552014e-06,3.203317528828895e-06,1.1563331892443973,1.1281113975982853,1.1627480961895662,0.029788652163601603
2021-01-10,2021-01-11,MEMORY,bull,-0.0693309105000495,-0.034677528693381254,-0.03466545525002475,0.48749299564357745,0.5,0.5,0.012507004356422546,1.2507004356422547e-05,1.410929416429168e-05,1.1281113975982853,1.0889912822387402,1.1627480961895662,0.0634331840168425
2021-01-11,2021-01-12,MEMORY,bull,-0.0413062009942524,-0.02067068481869816,-0.0206531004971262,0.4820448488875931,0.5,0.5,0.01795515111240692,1.795515111240692e-05,1.9553003032690355e-05,1.0889912822387402,1.0664810866732732,1.1627480961895662,0.08279266148168196
2021-01-12,2021-01-13,MEMORY,bull,0.0970210792901768,0.048499483811063504,0.0485105396450884,0.4894556767843907,0.5,0.5,0.010544323215609275,1.0544323215609275e-05,1.1245321281217203e-05,1.0664810866732732,1.118204868871189,1.1627480961895662,0.038308579015824296
2021-01-13,2021-01-14,MEMORY,bull,0.0479773796084768,0.023965001800134056,0.0239886898042384,0.5231330720154271,0.5,0.5,0.023133072015427136,2.3133072015427137e-05,2.5867513759598474e-05,1.118204868871189,1.1450026505666058,1.1627480961895662,0.015261642380764995
2021-01-14,2021-01-15,MEMORY,bull,-0.0594730917379905,-0.029747910911041675,-0.02973654586899525,0.5117133568188261,0.5,0.5,0.011713356818826126,1.1713356818826127e-05,1.341182460458834e-05,1.1450026505666058,1.1109412137246437,1.1627480961895662,0.04455555131390754
2021-01-15,2021-01-16,MEMORY,bull,-0.0224258938603586,-0.011228099057899343,-0.0112129469301793,0.4846760455923653,0.5,0.5,0.015323954407634677,1.5323954407634675e-05,1.7024012508678773e-05,1.1109412137246437,1.0984674557294405,1.1627480961895662,0.055283376228075
2021-01-16,2021-01-17,MEMORY,bull,-0.0049945168589237,-0.002502914321329208,-0.00249725842946185,0.4943299485488977,0.5,0.5,0.005670051451102276,5.670051451102276e-06,6.22836699134734e-06,1.0984674557294405,1.0957180858029811,1.1627480961895662,0.057647920995311575
2021-01-17,2021-01-18,MEMORY,bull,0.0215850623332849,0.010791265901864744,0.01079253116664245,0.49874824482911695,0.5,0.5,0.001251755170883051,1.251755170883051e-06,1.37157077973396e-06,1.0957180858029811,1.1075422710203633,1.1627480961895662,0.047478749137596976
2021-01-18,2021-01-19,MEMORY,bull,-0.0166688516709819,-0.00833971998898242,-0.00833442583549095,0.5053386480577701,0.5,0.5,0.005338648057770068,5.338648057770068e-06,5.9127783940811124e-06,1.1075422710203633,1.0983056786040917,1.1627480961895662,0.05542250965334483
2021-01-19,2021-01-20,MEMORY,bull,-0.0146265995239271,-0.007317471265894215,-0.00731329976196355,0.4957977638567756,0.5,0.5,0.004202236143224403,4.2022361432244024e-06,4.615339818938718e-06,1.0983056786040917,1.0902688583597377,1.1627480961895662,0.06233442829736702
2021-01-20,2021-01-21,MEMORY,bull,-0.1306280530946013,-0.06531746954633832,-0.06531402654730065,0.4963164109279343,0.5,0.5,0.003683589072065674,3.6835890720656738e-06,4.0161024522674485e-06,1.0902688583597377,1.0190552554065044,1.1627480961895662,0.12358037072170369
2021-01-21,2021-01-22,MEMORY,bull,0.0699822645020928,0.031476483746766704,0.03149201902594176,0.4650609785519554,0.45,0.55,0.015060978551955373,1.5060978551955373e-05,1.5347969344934765e-05,1.0190552554065044,1.0511315315903644,1.1627480961895662,0.09599376250537817
2021-01-22,2021-01-23,MEMORY,bull,-0.0276238238814563,-0.012447303815139477,-0.012430720746655334,0.46679180269433806,0.45,0.55,0.016791802694338054,1.6791802694338053e-05,1.7650393284262767e-05,1.0511315315903644,1.0380477780669863,1.1627480961895662,0.10724620279425479
2021-01-23,2021-01-24,MEMORY,bull,0.0047493058347278,0.0021302498762614253,0.00213718762562751,0.4430770462849659,0.45,0.55,0.006922953715034097,6.922953715034097e-06,7.186356721551733e-06,1.0380477780669863,1.040259079217767,1.1627480961895662,0.10534441412822526
2021-01-24,2021-01-25,MEMORY,bull,0.0003411773098478,0.0001523566629617612,0.00015352978943151,0.4511729463875901,0.45,0.55,0.0011729463875900792,1.1729463875900792e-06,1.220168129126262e-06,1.040259079217767,1.0404175696196925,1.1627480961895662,0.1052081073886616
2021-01-25,2021-01-26,MEMORY,bull,0.0077451840643922,0.0034852481062934704,0.00348533282897649,0.4500844284219095,0.45,0.55,8.442842190947708e-05,8.442842190947709e-08,8.784081352988414e-08,1.0404175696196925,1.0440436829839639,1.1627480961895662,0.10208953563941126
2021-01-26,2021-01-27,MEMORY,bull,-0.0645527519760261,-0.029050593173241213,-0.029048738389211744,0.451910275111379,0.45,0.55,0.0019102751113789784,1.9102751113789784e-06,1.9944106627967106e-06,1.0440436829839639,1.0137135946945044,1.1627480961895662,0.12817436724554676
