left,right,regime,days,action_different_days,desired_exposure_different_days,exposure_different_days,net_return_after_trading_costs_different_days
fixed_memory,rule_fixed,ALL,1244,46,46,13,24
fixed_memory,rule_fixed,bear,380,19,19,1,2
fixed_memory,rule_fixed,bull,388,27,27,12,20
fixed_memory,rule_fixed,mix,476,0,0,0,2
adaptive_memory,rule_adaptive,ALL,1244,45,70,43,59
adaptive_memory,rule_adaptive,bear,380,17,34,7,11
adaptive_memory,rule_adaptive,bull,388,28,36,36,45
adaptive_memory,rule_adaptive,mix,476,0,0,0,3
fixed_no_memory,rule_fixed,ALL,1244,23,23,6,12
fixed_no_memory,rule_fixed,bear,380,12,12,1,2
fixed_no_memory,rule_fixed,bull,388,11,11,5,7
fixed_no_memory,rule_fixed,mix,476,0,0,0,3
adaptive_memory,numerical_only,ALL,1244,691,484,276,304
adaptive_memory,numerical_only,bear,380,378,259,81,90
adaptive_memory,numerical_only,bull,388,313,225,195,210
adaptive_memory,numerical_only,mix,476,0,0,0,4
rule_adaptive,numerical_only,ALL,1244,694,504,309,335
rule_adaptive,numerical_only,bear,380,361,251,86,92
rule_adaptive,numerical_only,bull,388,333,253,223,238
rule_adaptive,numerical_only,mix,476,0,0,0,5
adaptive_memory,adaptive_no_memory,ALL,1244,32,12,8,14
adaptive_memory,adaptive_no_memory,bear,380,6,4,0,0
adaptive_memory,adaptive_no_memory,bull,388,26,8,8,12
adaptive_memory,adaptive_no_memory,mix,476,0,0,0,2
fixed_memory,fixed_no_memory,ALL,1244,33,33,13,25
fixed_memory,fixed_no_memory,bear,380,7,7,0,0
fixed_memory,fixed_no_memory,bull,388,26,26,13,24
fixed_memory,fixed_no_memory,mix,476,0,0,0,1
adaptive_memory,fixed_memory,ALL,1244,29,591,321,382
adaptive_memory,fixed_memory,bear,380,2,296,86,107
adaptive_memory,fixed_memory,bull,388,27,295,235,261
adaptive_memory,fixed_memory,mix,476,0,0,0,14
numerical_only,numerical_hard_allocator,ALL,1244,0,1243,52,84
numerical_only,numerical_hard_allocator,bear,380,0,379,9,19
numerical_only,numerical_hard_allocator,bull,388,0,388,0,6
numerical_only,numerical_hard_allocator,mix,476,0,476,43,59
numerical_only,numerical_uniform_allocator,ALL,1244,0,1244,445,473
numerical_only,numerical_uniform_allocator,bear,380,0,380,120,128
numerical_only,numerical_uniform_allocator,bull,388,0,388,95,101
numerical_only,numerical_uniform_allocator,mix,476,0,476,230,244
numerical_only,numerical_frozen_W,ALL,1244,0,1244,1034,1053
numerical_only,numerical_frozen_W,bear,380,0,380,276,278
numerical_only,numerical_frozen_W,bull,388,0,388,388,388
numerical_only,numerical_frozen_W,mix,476,0,476,370,387
numerical_only,numerical_no_risk,ALL,1244,0,0,1244,1244
numerical_only,numerical_no_risk,bear,380,0,0,380,380
numerical_only,numerical_no_risk,bull,388,0,0,388,388
numerical_only,numerical_no_risk,mix,476,0,0,476,476
adaptive_memory,llama_hard_allocator,ALL,1244,15,1242,65,104
adaptive_memory,llama_hard_allocator,bear,380,0,378,17,29
adaptive_memory,llama_hard_allocator,bull,388,15,388,5,15
adaptive_memory,llama_hard_allocator,mix,476,0,476,43,60
adaptive_memory,llama_uniform_allocator,ALL,1244,24,1244,424,471
adaptive_memory,llama_uniform_allocator,bear,380,0,380,126,139
adaptive_memory,llama_uniform_allocator,bull,388,24,388,68,90
adaptive_memory,llama_uniform_allocator,mix,476,0,476,230,242
adaptive_memory,llama_frozen_W,ALL,1244,24,1244,1014,1036
adaptive_memory,llama_frozen_W,bear,380,2,380,288,291
adaptive_memory,llama_frozen_W,bull,388,22,388,356,358
adaptive_memory,llama_frozen_W,mix,476,0,476,370,387
adaptive_memory,llama_no_risk,ALL,1244,24,156,1244,1244
adaptive_memory,llama_no_risk,bear,380,1,0,380,380
adaptive_memory,llama_no_risk,bull,388,23,156,388,388
adaptive_memory,llama_no_risk,mix,476,0,0,476,476
adaptive_memory,llama_memory_frozen2021,ALL,1244,31,38,38,52
adaptive_memory,llama_memory_frozen2021,bear,380,1,0,0,0
adaptive_memory,llama_memory_frozen2021,bull,388,30,38,38,52
adaptive_memory,llama_memory_frozen2021,mix,476,0,0,0,0
adaptive_memory,llama_memory_current_year,ALL,1244,28,14,14,23
adaptive_memory,llama_memory_current_year,bear,380,2,0,0,0
adaptive_memory,llama_memory_current_year,bull,388,26,14,14,21
adaptive_memory,llama_memory_current_year,mix,476,0,0,0,2
adaptive_memory,llama_memory_pooled,ALL,1244,15,6,5,9
adaptive_memory,llama_memory_pooled,bear,380,0,0,0,0
adaptive_memory,llama_memory_pooled,bull,388,15,6,5,8
adaptive_memory,llama_memory_pooled,mix,476,0,0,0,1
adaptive_memory,cash,ALL,1244,1244,0,1244,1244
adaptive_memory,cash,bear,380,380,0,380,380
adaptive_memory,cash,bull,388,388,0,388,388
adaptive_memory,cash,mix,476,476,0,476,476
adaptive_memory,buy_hold,ALL,1244,1244,0,1244,1244
adaptive_memory,buy_hold,bear,380,380,0,380,380
adaptive_memory,buy_hold,bull,388,388,0,388,388
adaptive_memory,buy_hold,mix,476,476,0,476,476
adaptive_memory,static50,ALL,1244,1244,0,1031,1054
adaptive_memory,static50,bear,380,380,0,380,380
adaptive_memory,static50,bull,388,388,0,266,273
adaptive_memory,static50,mix,476,476,0,385,401
