arm,scope,period,observations,first_return_date,last_return_date,calendar_days,is_conditional_noncontiguous_selection,net_compounded_return_after_trading_costs,cumulative_net_log_return_after_trading_costs,conditional_log_growth_contribution,mean_daily_net_log_return_bps,mean_daily_net_simple_return_after_trading_costs,daily_net_return_volatility,annualized_net_return_volatility,net_cagr_after_trading_costs,annualized_sharpe_rf_zero,downside_rms_zero_threshold,annualized_sortino_threshold_zero,maximum_drawdown,calmar,expected_shortfall_95_daily_loss,turnover_sum,mean_daily_turnover,trading_days_with_nonzero_turnover,cost_fraction_sum_not_compounded_drag,mean_daily_cost_fraction,mean_btc_exposure,annualization_status,cagr_status,drawdown_status,trading_cost_sum_per_full_run_initial_unit
adaptive_memory,FULL,FULL,1608,2021-01-02,2025-05-28,1608,False,1.1629568240247419,0.7714761856180854,,4.7977374727492874,0.00058358978094023818,0.014412089732629018,0.27543686699679176,0.19152900579475954,0.77388393867733318,0.0097311788321412102,1.1461391224277782,0.45612406323456905,0.41990550648993646,0.033002809365950916,15.555316752778335,0.0096737044482452326,1608,0.015555316752778338,9.6737044482452341e-06,0.44965796019900511,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.021449947918142989
adaptive_memory,POST2021,POST2021,1244,2022-01-01,2025-05-28,1244,False,0.67730394132337901,0.51718770751810028,,4.1574574559332822,0.00049687428391384514,0.012743100892798644,0.24353996199385358,0.16398694496199767,0.74518912918329261,0.0085789888849038837,1.1068927101781472,0.37086594603711481,0.44217309977979619,0.029232989664381894,11.380187421674508,0.0091480606283557142,1244,0.011380187421674509,9.1480606283557153e-06,0.44883440514469453,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.016234370002587192
adaptive_no_memory,FULL,FULL,1608,2021-01-02,2025-05-28,1608,False,1.1634093366683333,0.77168537394308334,,4.799038395168429,0.00058382488882629873,0.01441936900302941,0.27557598488117235,0.19158562406014037,0.77380487539854026,0.0097362714008653248,1.1460011307535125,0.45612406323456905,0.42002963558099854,0.033002809365950916,15.550177180241178,0.0096705081966673989,1608,0.015550177180241178,9.6705081966673998e-06,0.45009328358208961,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.021296463037493385
adaptive_no_memory,POST2021,POST2021,1244,2022-01-01,2025-05-28,1244,False,0.67765485042714102,0.51739689584309823,,4.1591390341085068,0.00049717818542573046,0.012753744703702705,0.24374338134404563,0.16405843881998053,0.745022618564671,0.0085864543456082871,1.1066067428073838,0.37086594603711481,0.44236587525229992,0.029233237709842826,11.375047849137351,0.0091439291391779351,1244,0.011375047849137352,9.1439291391779351e-06,0.44939710610932471,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.016080885121937588
buy_hold,FULL,FULL,1608,2021-01-02,2025-05-28,1608,False,2.6675504105940933,1.2995239761604651,,8.0816167671670716,0.0013189721085735781,0.031984472923171602,0.61127172935628538,0.34336955698008226,0.78811850690988572,0.021498335515185926,1.1725351958854506,0.76637508348400951,0.44804373782494811,0.072759424714026202,1,0.00062189054726368158,1,0.001,6.2189054726368161e-07,1,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.001
buy_hold,POST2021,POST2021,1244,2022-01-01,2025-05-28,1244,False,1.332061143024073,0.84675248728006769,,6.8066920199362348,0.0010784791948855717,0.028212716827548886,0.53918775671057362,0.28224753646792433,0.7305702346342432,0.019060043898005051,1.0813915887428345,0.66952532573630807,0.42156364459779566,0.064569680033113586,0,0,0,0,0,1,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0
cash,FULL,FULL,1608,2021-01-02,2025-05-28,1608,False,0,0,,0,0,0,0,0,,0,,-0,,-0,0,0,0,0,0,0,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0
cash,POST2021,POST2021,1244,2022-01-01,2025-05-28,1244,False,0,0,,0,0,0,0,0,,0,,-0,,-0,0,0,0,0,0,0,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0
fixed_memory,FULL,FULL,1608,2021-01-02,2025-05-28,1608,False,1.1677890039035856,0.77370775591851648,,4.8116153975032114,0.0005831173316088495,0.014282333361090957,0.27295702617479073,0.19213313446511079,0.78028255346592934,0.0096351340711007399,1.1566269303786176,0.44959379770199348,0.42734827625994826,0.032524434976977233,15.405861682046883,0.0095807597525167185,1608,0.015405861682046882,9.5807597525167176e-06,0.44732587064676621,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.020191683215608179
fixed_memory,POST2021,POST2021,1244,2022-01-01,2025-05-28,1244,False,0.68624681620102201,0.52250524044376712,,4.2002028974579346,0.0004983234209823725,0.012519096413490074,0.23925889706027126,0.16580567069854657,0.76073505207190306,0.0084122656662689779,1.132122526776252,0.36253333512241231,0.45735289595523937,0.028572428482208246,11.094296837936238,0.0089182450465725375,1244,0.011094296837936238,8.9182450465725381e-06,0.44457395498392288,365_25_CALENDAR_DAYS_PER_YEAR,REPORTED,RESET_REPORTING_HIGH_WATER_MARK_TO_GROUP_INITIAL_WEALTH_NOT_PORTFOLIO_STATE,0.014784063828293788
