decision_date,return_date,router_valid,router_fallback_used,risk_fallback_used,desired_exposure,final_exposure,pretrade_exposure,turnover,ambiguity_cvar,asset_simple_return,portfolio_net_return,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5
2021-01-01,2021-01-02,True,False,False,0.5,0.35000000000000003,0,0.35000000000000003,0.021029895938006405,0.096505778289435407,0.033415200443461801,0.5,0.5,0,0,0,0
2021-01-02,2021-01-03,True,False,False,0.5,0.5,0.37123771769452607,0.12876228230547393,0.029678009014958467,0.023781345807978749,0.011760379551502664,0.5,0.5,0,0,0,0
2021-01-03,2021-01-04,True,False,False,0.5,0.5,0.50587547312293368,0.0058754731229336832,0.029558753886044026,-0.028408108280312816,-0.014209846157741013,0.5,0.5,0,0,0,0
2021-01-04,2021-01-05,True,False,False,0.5,0.5,0.49279564183652269,0.0072043581634773091,0.029560043498475803,0.061484701429615374,0.030734924877738878,0.5,0.5,0,0,0,0
2021-01-05,2021-01-06,True,False,False,0.5,0.5,0.51491272319095471,0.014912723190954713,0.02956752405779042,0.082423547063236402,0.041196246228656364,0.5,0.5,0,0,0,0
2021-01-06,2021-01-07,True,False,False,0.5,0.5,0.5197902936651565,0.0197902936651565,0.029572257481170507,0.072486220279834424,0.036222602584458974,0.5,0.5,0,0,0,0
2021-01-07,2021-01-08,True,False,False,0.5,0.5,0.51748774480875614,0.017487744808756145,0.02957002297966034,0.02886706098803371,0.014415790339310064,0.5,0.5,0,0,0,0
2021-01-08,2021-01-09,True,False,False,0.5,0.5,0.50711408390009938,0.0071140839000993772,0.02955995589209242,-0.011019894431677391,-0.0055170221015119481,0.5,0.5,0,0,0,0
2021-01-09,2021-01-10,True,False,False,0.5,0.5,0.49722976252984474,0.0027702374701552568,0.029555740419582179,-0.048807154829534904,-0.02440628004853318,0.5,0.5,0,0,0,0
2021-01-10,2021-01-11,True,False,False,0.5,0.5,0.48749299564357751,0.012507004356422491,0.029757079873941647,-0.069330910500049581,-0.034677528693381254,0.5,0.5,0,0,0,0
2021-01-11,2021-01-12,True,False,False,0.5,0.5,0.48204484888759302,0.017955151112406975,0.030698863628361217,-0.041306200994252418,-0.02067068481869816,0.5,0.5,0,0,0,0
2021-01-12,2021-01-13,True,False,False,0.5,0.5,0.48945567678439073,0.010544323215609275,0.030691680175479446,0.097021079290176893,0.048499483811063504,0.5,0.5,0,0,0,0
2021-01-13,2021-01-14,True,False,False,0.5,0.5,0.52313307201542714,0.023133072015427136,0.030703882683094482,0.047977379608476811,0.023965001800134056,0.5,0.5,0,0,0,0
2021-01-14,2021-01-15,True,False,False,0.5,0.5,0.51171335681882613,0.011713356818826126,0.030692813341425689,-0.059473091737990535,-0.029747910911041786,0.5,0.5,0,0,0,0
2021-01-15,2021-01-16,True,False,False,0.5,0.5,0.48467604559236538,0.015323954407634621,0.031199431226383748,-0.022425893860358648,-0.011228099057899454,0.5,0.5,0,0,0,0
2021-01-16,2021-01-17,True,False,False,0.5,0.5,0.49432994854889778,0.0056700514511022204,0.031190078376385971,-0.0049945168589237143,-0.0025029143213292082,0.5,0.5,0,0,0,0
2021-01-17,2021-01-18,True,False,False,0.5,0.5,0.49874824482911695,0.001251755170883051,0.0310635963098524,0.021585062333284943,0.010791265901864966,0.5,0.5,0,0,0,0
2021-01-18,2021-01-19,True,False,False,0.5,0.5,0.50533864805776996,0.0053386480577699569,0.031067556254105375,-0.016668851670981977,-0.0083397199889824192,0.5,0.5,0,0,0,0
2021-01-19,2021-01-20,True,False,False,0.5,0.5,0.49579776385677554,0.0042022361432244582,0.031066455141853452,-0.014626599523927197,-0.0073174712658942154,0.5,0.5,0,0,0,0
2021-01-20,2021-01-21,True,False,False,0.5,0.5,0.49631641092793427,0.0036835890720657294,0.031065952605196578,-0.13062805309460135,-0.065317469546338325,0.5,0.5,0,0,0,0
2021-01-21,2021-01-22,True,False,False,0.5,0.45000000000000001,0.46506097855195538,0.015060978551955373,0.040506862633543826,0.069982264502092884,0.031476483746766704,0.5,0.5,0,0,0,0
2021-01-22,2021-01-23,True,False,False,0.5,0.45000000000000001,0.46679180269433806,0.016791802694338054,0.040508523372442755,-0.027623823881456344,-0.012447303815139588,0.5,0.5,0,0,0,0
2021-01-23,2021-01-24,True,False,False,0.5,0.45000000000000001,0.44307704628496597,0.0069229537150340414,0.040499054136957494,0.0047493058347278794,0.0021302498762614253,0.5,0.5,0,0,0,0
2021-01-24,2021-01-25,True,False,False,0.5,0.45000000000000001,0.45117294638759009,0.0011729463875900792,0.040493536961292896,0.00034117730984783989,0.0001523566629617612,0.5,0.5,0,0,0,0
2021-01-25,2021-01-26,True,False,False,0.5,0.45000000000000001,0.45008442842190949,8.442842190947708e-05,0.040492492520044658,0.0077451840643922854,0.0034852481062934704,0.5,0.5,0,0,0,0
2021-01-26,2021-01-27,True,False,False,0.5,0.45000000000000001,0.45191027511137899,0.0019102751113789784,0.040494244433798628,-0.064552751976026168,-0.029050593173241213,0.5,0.5,0,0,0,0
2021-01-27,2021-01-28,True,False,False,0.5,0.45000000000000001,0.43354520278642894,0.016454797213571071,0.040668294876182343,0.097710827522694554,0.043952694072665555,0.5,0.5,0,0,0,0
2021-01-28,2021-01-29,True,False,False,0.5,0.45000000000000001,0.47316487328950757,0.023164873289507559,0.040674732170830112,0.027775447343504567,0.012475496894664317,0.5,0.5,0,0,0,0
2021-01-29,2021-01-30,True,False,False,0.5,0.45000000000000001,0.45678956082735683,0.006789560827356822,0.040659022555905346,-0.00054516089534673018,-0.00025211029810190411,0.5,0.5,0,0,0,0
2021-01-30,2021-01-31,True,False,False,0.5,0.45000000000000001,0.44986503956958457,0.00013496043041544281,0.040652638481710981,-0.034273446683642961,-0.015423183886568048,0.5,0.5,0,0,0,0
2021-01-31,2021-02-01,True,False,False,0.48633642524161863,0.45000000000000001,0.44138444378280128,0.0086155562171987277,0.040660774320001224,0.012311186688453768,0.0055313707231126052,0.51366357475838142,0.48633642524161863,0,0,0,0
2021-02-01,2021-02-02,True,False,False,0.48644089884165848,0.45000000000000001,0.45303023112191931,0.0030302311219193023,0.040655416052384638,0.058763504864884242,0.026440466827925446,0.51355910115834147,0.48644089884165848,0,0,0,0
2021-02-02,2021-02-03,True,False,False,0.48712226896651173,0.45000000000000001,0.46416928097878102,0.014169280978781007,0.040666102271916846,0.060915536618083133,0.027397433788949321,0.51287773103348833,0.48712226896651173,0,0,0,0
2021-02-03,2021-02-04,True,False,False,0.48651765631131244,0.45000000000000001,0.46467434236511573,0.014674342365115722,0.040666586801290656,-0.017656215136479192,-0.0079598545617751704,0.51348234368868761,0.48651765631131244,0,0,0,0
2021-02-04,2021-02-05,True,False,False,0.48635500612818555,0.45000000000000001,0.44559508842382062,0.0044049115761793933,0.04065673484862934,0.035571262854191543,0.016002592863089804,0.5136449938718145,0.48635500612818555,0,0,0,0
2021-02-05,2021-02-06,True,False,False,0.48637664564492206,0.45000000000000001,0.45866518337444101,0.008665183374440999,0.040660821929689936,0.025040733622994749,0.011259567304826357,0.513623354355078,0.48637664564492206,0,0,0,0
2021-02-06,2021-02-07,True,False,False,0.48634586504685023,0.45000000000000001,0.45612852334740117,0.0061285233474011602,0.040658388391257495,-0.01028362109810832,-0.0046337296569607389,0.51365413495314982,0.48634586504685023,0,0,0,0
2021-02-07,2021-02-08,True,False,False,0.48632074022366673,0.45000000000000001,0.44744297079444917,0.0025570292055508426,0.040654962087313486,0.19413737455891322,0.087359038135583988,0.51367925977633333,0.48632074022366673,0,0,0,0
2021-02-08,2021-02-09,True,False,False,0.48635065561070767,0.45000000000000001,0.49418860344695359,0.044188603446953578,0.040694901233607937,0.00243341516562956,0.0010507998329383206,0.51364934438929233,0.48635065561070767,0,0,0,0
2021-02-09,2021-02-10,True,False,False,0.48630530594916072,0.45000000000000001,0.45060161146678318,0.00060161146678316957,0.040653086162211895,-0.035963241207002561,-0.016184050418463714,0.51369469405083923,0.48630530594916072,0,0,0,0
