stage,run_id,arm,trust,memory,controller,core,sampling_seed,prompt_variant,source,note,arm_key,config_key
6.1,20260907T012534Z,stage61_continuous,adaptive,expanding,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_1_LLAMA70B_CONTINUOUS_MEMORY_AGENT_EXPERT_V1/artifacts/20260907T012534Z/continuous_2021_2025/03_DAILY_TRACE.csv,,6.1:stage61_continuous,trust=adaptive|memory=expanding|controller=on|core=original
6.2,20260908T055052711433762Z,adaptive_memory,adaptive,expanding,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_2_LLAMA70B_MATCHED_MEMORY_ABLATION_V1/artifacts/20260908T055052711433762Z/03_DAILY_TRACE.csv,,6.2:adaptive_memory,trust=adaptive|memory=expanding|controller=on|core=original
6.2,20260908T055052711433762Z,adaptive_no_memory,adaptive,none,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_2_LLAMA70B_MATCHED_MEMORY_ABLATION_V1/artifacts/20260908T055052711433762Z/03_DAILY_TRACE.csv,,6.2:adaptive_no_memory,trust=adaptive|memory=none|controller=on|core=original
6.3,20260909T013716356200839Z,fixed_memory,fixed,expanding,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_3_LLAMA70B_FIXED_TRUST_MEMORY_ABLATION_V1/artifacts/20260909T013716356200839Z/03_DAILY_TRACE.csv,,6.3:fixed_memory,trust=fixed|memory=expanding|controller=on|core=original
6.3,20260909T013716356200839Z,fixed_no_memory,fixed,none,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_3_LLAMA70B_FIXED_TRUST_MEMORY_ABLATION_V1/artifacts/20260909T013716356200839Z/03_DAILY_TRACE.csv,,6.3:fixed_no_memory,trust=fixed|memory=none|controller=on|core=original
6.4,20260909T114202240674964Z,llama_frozen_W,adaptive,expanding,on,frozen_W,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_4_COMPONENT_SUITE_V1/artifacts/20260909T114202240674964Z/arms/llama_frozen_W/DAILY_LEDGER.csv,,6.4:llama_frozen_W,trust=adaptive|memory=expanding|controller=on|core=frozen_W
6.4,20260909T114202240674964Z,llama_hard_allocator,adaptive,expanding,on,hard_allocator,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_4_COMPONENT_SUITE_V1/artifacts/20260909T114202240674964Z/arms/llama_hard_allocator/DAILY_LEDGER.csv,,6.4:llama_hard_allocator,trust=adaptive|memory=expanding|controller=on|core=hard_allocator
6.4,20260909T114202240674964Z,llama_memory_current_year,adaptive,current_year,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_4_COMPONENT_SUITE_V1/artifacts/20260909T114202240674964Z/arms/llama_memory_current_year/DAILY_LEDGER.csv,,6.4:llama_memory_current_year,trust=adaptive|memory=current_year|controller=on|core=original
6.4,20260909T114202240674964Z,llama_memory_frozen2021,adaptive,frozen2021,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_4_COMPONENT_SUITE_V1/artifacts/20260909T114202240674964Z/arms/llama_memory_frozen2021/DAILY_LEDGER.csv,,6.4:llama_memory_frozen2021,trust=adaptive|memory=frozen2021|controller=on|core=original
6.4,20260909T114202240674964Z,llama_memory_pooled,adaptive,pooled,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_4_COMPONENT_SUITE_V1/artifacts/20260909T114202240674964Z/arms/llama_memory_pooled/DAILY_LEDGER.csv,,6.4:llama_memory_pooled,trust=adaptive|memory=pooled|controller=on|core=original
