cohort,beta,grid_step,regime,states,K1,K2,K3,disagreements,capable_disagreement_states,actual_pair_capacity,projection_merges,fallback_states
fixed_memory,0.05,0.05,all,1244,61,1183,0,33,33,13,20,0
fixed_memory,0.05,0.05,bear,380,47,333,0,7,7,0,7,0
fixed_memory,0.05,0.05,bull,388,0,388,0,26,26,13,13,0
fixed_memory,0.05,0.05,mix,476,14,462,0,0,0,0,0,0
fixed_memory,0.025,0.05,all,1244,658,586,0,33,14,8,25,0
fixed_memory,0.025,0.05,bear,380,251,129,0,7,1,0,7,0
fixed_memory,0.025,0.05,bull,388,206,182,0,26,13,8,18,0
fixed_memory,0.025,0.05,mix,476,201,275,0,0,0,0,0,0
fixed_memory,0.1,0.05,all,1244,52,165,1027,33,33,33,0,0
fixed_memory,0.1,0.05,bear,380,46,73,261,7,7,7,0,0
fixed_memory,0.1,0.05,bull,388,0,35,353,26,26,26,0,0
fixed_memory,0.1,0.05,mix,476,6,57,413,0,0,0,0,0
fixed_memory,0.05,0.025,all,1244,27,182,1035,33,33,27,6,0
fixed_memory,0.05,0.025,bear,380,27,104,249,7,7,1,6,0
fixed_memory,0.05,0.025,bull,388,0,42,346,26,26,26,0,0
fixed_memory,0.05,0.025,mix,476,0,36,440,0,0,0,0,0
fixed_memory,0.05,0.1,all,1244,429,815,0,33,28,20,13,0
fixed_memory,0.05,0.1,bear,380,281,99,0,7,4,4,3,0
fixed_memory,0.05,0.1,bull,388,5,383,0,26,24,16,10,0
fixed_memory,0.05,0.1,mix,476,143,333,0,0,0,0,0,0
fixed_no_memory,0.05,0.05,all,1244,61,1183,0,33,33,13,20,0
fixed_no_memory,0.05,0.05,bear,380,47,333,0,7,7,0,7,0
fixed_no_memory,0.05,0.05,bull,388,0,388,0,26,26,13,13,0
fixed_no_memory,0.05,0.05,mix,476,14,462,0,0,0,0,0,0
fixed_no_memory,0.025,0.05,all,1244,658,586,0,33,14,8,25,0
fixed_no_memory,0.025,0.05,bear,380,251,129,0,7,1,0,7,0
fixed_no_memory,0.025,0.05,bull,388,206,182,0,26,13,8,18,0
fixed_no_memory,0.025,0.05,mix,476,201,275,0,0,0,0,0,0
fixed_no_memory,0.1,0.05,all,1244,52,165,1027,33,33,33,0,0
fixed_no_memory,0.1,0.05,bear,380,46,73,261,7,7,7,0,0
fixed_no_memory,0.1,0.05,bull,388,0,35,353,26,26,26,0,0
fixed_no_memory,0.1,0.05,mix,476,6,57,413,0,0,0,0,0
fixed_no_memory,0.05,0.025,all,1244,27,182,1035,33,33,27,6,0
fixed_no_memory,0.05,0.025,bear,380,27,104,249,7,7,1,6,0
fixed_no_memory,0.05,0.025,bull,388,0,42,346,26,26,26,0,0
fixed_no_memory,0.05,0.025,mix,476,0,36,440,0,0,0,0,0
fixed_no_memory,0.05,0.1,all,1244,429,815,0,33,28,20,13,0
fixed_no_memory,0.05,0.1,bear,380,281,99,0,7,4,4,3,0
fixed_no_memory,0.05,0.1,bull,388,5,383,0,26,24,16,10,0
fixed_no_memory,0.05,0.1,mix,476,143,333,0,0,0,0,0,0
