cohort,decision_date,return_date,regime,eligible_episodes,eligible_actions,filtered_episodes,filtered_actions,retrieved_episodes,retrieved_actions
adaptive_memory,2021-12-31,2022-01-01,bear,364,3,123,1,5,1
adaptive_memory,2022-01-01,2022-01-02,bear,365,3,124,1,5,1
adaptive_memory,2022-01-02,2022-01-03,bear,366,3,125,1,5,1
adaptive_memory,2022-01-03,2022-01-04,bear,367,3,126,1,5,1
adaptive_memory,2022-01-04,2022-01-05,bear,368,3,127,1,5,1
adaptive_memory,2022-01-05,2022-01-06,bear,369,3,128,1,5,1
adaptive_memory,2022-01-06,2022-01-07,bear,370,3,129,1,5,1
adaptive_memory,2022-01-07,2022-01-08,bear,371,3,130,1,5,1
adaptive_memory,2022-01-08,2022-01-09,bear,372,3,131,1,5,1
adaptive_memory,2022-01-09,2022-01-10,bear,373,3,132,1,5,1
adaptive_memory,2022-01-10,2022-01-11,bear,374,3,133,1,5,1
adaptive_memory,2022-01-11,2022-01-12,bear,375,3,134,1,5,1
adaptive_memory,2022-01-12,2022-01-13,bear,376,3,135,1,5,1
adaptive_memory,2022-01-13,2022-01-14,bear,377,3,136,1,5,1
adaptive_memory,2022-01-14,2022-01-15,bear,378,3,137,1,5,1
adaptive_memory,2022-01-15,2022-01-16,bear,379,3,138,1,5,1
adaptive_memory,2022-01-16,2022-01-17,bear,380,3,139,1,5,1
adaptive_memory,2022-01-17,2022-01-18,bear,381,3,140,1,5,1
adaptive_memory,2022-01-18,2022-01-19,bear,382,3,141,1,5,1
adaptive_memory,2022-01-19,2022-01-20,bear,383,3,142,1,5,1
adaptive_memory,2022-01-20,2022-01-21,bear,384,3,143,1,5,1
adaptive_memory,2022-01-21,2022-01-22,bear,385,3,144,1,5,1
adaptive_memory,2022-01-22,2022-01-23,bear,386,3,145,1,5,1
adaptive_memory,2022-01-23,2022-01-24,bear,387,3,146,1,5,1
adaptive_memory,2022-01-24,2022-01-25,bear,388,3,147,1,5,1
adaptive_memory,2022-01-25,2022-01-26,bear,389,3,148,1,5,1
adaptive_memory,2022-01-26,2022-01-27,bear,390,3,149,1,5,1
adaptive_memory,2022-01-27,2022-01-28,bear,391,3,150,1,5,1
adaptive_memory,2022-01-28,2022-01-29,bear,392,3,151,1,5,1
adaptive_memory,2022-01-29,2022-01-30,bear,393,3,152,1,5,1
adaptive_memory,2022-01-30,2022-01-31,bear,394,3,153,1,5,1
adaptive_memory,2022-01-31,2022-02-01,bear,395,3,154,1,5,1
adaptive_memory,2022-02-01,2022-02-02,bear,396,3,155,1,5,1
