index,decision_date,return_date,hard_regime,asset_simple_return,memory_net_return,memory_exposure,memory_turnover,memory_beta,memory_pretrade_exposure,memory_desired_exposure,memory_cited_memory_count,memory_retrieved_memory_count,memory_memory_total_before,memory_action,memory_core_desired_exposure,memory_retrieved_ids,memory_cited_ids,memory_reason_codes,memory_reason_mentions_memory,memory_net_log_return,memory_journal_member,memory_request_sha256,no_memory_net_return,no_memory_exposure,no_memory_turnover,no_memory_beta,no_memory_pretrade_exposure,no_memory_desired_exposure,no_memory_cited_memory_count,no_memory_retrieved_memory_count,no_memory_memory_total_before,no_memory_action,no_memory_core_desired_exposure,no_memory_retrieved_ids,no_memory_cited_ids,no_memory_reason_codes,no_memory_reason_mentions_memory,no_memory_net_log_return,no_memory_journal_member,no_memory_request_sha256,nonmemory_request_equal,action_different,paired_desired_exposure,paired_final_exposure,desired_different,final_different,paired_net_return,paired_net_log_return,paired_gross_log_return,paired_fee_log_return,share_of_total_signed_net_log_gap_pct
364,2021-12-31,2022-01-01,bear,0.03285409837839,0.014779485233745726,0.45,0.004788245460552676,0.05,0.44521175453944734,0.4493076099779099,5,5,364,CASH,0.4729553789241157,"[""episode-000364"", ""episode-000353"", ""episode-000352"", ""episode-000363"", ""episode-000347""]","[""episode-000364"", ""episode-000353"", ""episode-000352"", ""episode-000363"", ""episode-000347""]","[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,0.014671332962918832,20260909T013716356200839Z/calls/000365-memory.json,4a6c53aa21c59e797ef17f81f74662de001a99b65bf0d88bf328aecb8fd11d95,0.014779485233745726,0.45,0.004788245460552676,0.05,0.44521175453944734,0.4493076099779099,0,0,364,CASH,0.4729553789241157,[],[],"[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,0.014671332962918832,20260909T013716356200839Z/calls/000365-no_memory.json,8800c896dc782340f91c062a213996ad700d97fade17231bdad602d07baef84f,True,False,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
365,2022-01-01,2022-01-02,bear,-0.0089278981105198,-0.004025534880908288,0.45,0.008012923528593452,0.05,0.45801292352859346,0.44930514138507116,2,5,365,CASH,0.4729527804053381,"[""episode-000352"", ""episode-000364"", ""episode-000363"", ""episode-000353"", ""episode-000365""]","[""episode-000352"", ""episode-000364""]","[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,-0.004033659156814171,20260909T013716356200839Z/calls/000366-memory.json,df63bbb60f7a221974baf9873eb379585a217955f6f8ff9ee9ce2fefae980854,-0.004025534880908288,0.45,0.008012923528593452,0.05,0.45801292352859346,0.44930514138507116,0,0,365,CASH,0.4729527804053381,[],[],"[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,-0.004033659156814171,20260909T013716356200839Z/calls/000366-no_memory.json,94f84d900a655c497ccf73777f8018f2b86227ddf3db5fdb219e6f9a32569031,True,False,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
366,2022-01-02,2022-01-03,bear,-0.0186338291927173,-0.008387423101534397,0.45,0.0022185679994261576,0.05,0.44778143200057385,0.449311058795757,5,5,366,CASH,0.4729590092586916,"[""episode-000366"", ""episode-000364"", ""episode-000352"", ""episode-000353"", ""episode-000365""]","[""episode-000366"", ""episode-000364"", ""episode-000352"", ""episode-000353"", ""episode-000365""]","[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,-0.008422795462179555,20260909T013716356200839Z/calls/000367-memory.json,e175178060a22c2e83bb8e5bbfbb57775309f7a082b924a6d26bb46fc234881d,-0.008387423101534397,0.45,0.0022185679994261576,0.05,0.44778143200057385,0.449311058795757,0,0,366,CASH,0.4729590092586916,[],[],"[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,-0.008422795462179555,20260909T013716356200839Z/calls/000367-no_memory.json,72a27ce92da8dd642911b066ff4b80bcccaa37d4fe6495a39602827ec13c4167,True,False,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
367,2022-01-03,2022-01-04,bear,-0.0127697059241612,-0.0057509918115749015,0.45,0.004650871318987448,0.05,0.44534912868101256,0.4493172075745198,5,5,367,CASH,0.4729654816573893,"[""episode-000367"", ""episode-000364"", ""episode-000366"", ""episode-000365"", ""episode-000352""]","[""episode-000367"", ""episode-000364"", ""episode-000366"", ""episode-000365"", ""episode-000352""]","[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,-0.005767592442307466,20260909T013716356200839Z/calls/000368-memory.json,315a3bda7747ff97f727b018e9cc4c6912876c99c0a4156a3b2277bb4e6e1ec5,-0.0057509918115749015,0.45,0.004650871318987448,0.05,0.44534912868101256,0.4493172075745198,0,0,367,CASH,0.4729654816573893,[],[],"[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,-0.005767592442307466,20260909T013716356200839Z/calls/000368-no_memory.json,9f130e78df0c09202ca11660ddce4c1a02b72cfdcc2f31de614d5f0a660bf956,True,False,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
368,2022-01-04,2022-01-05,bear,-0.0526078106694766,-0.02367661831722845,0.45,0.0031787685892685213,0.05,0.4468212314107315,0.44932279459210955,2,5,368,CASH,0.4729713627285364,"[""episode-000367"", ""episode-000368"", ""episode-000366"", ""episode-000356"", ""episode-000362""]","[""episode-000367"", ""episode-000368""]","[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,-0.023961413756565974,20260909T013716356200839Z/calls/000369-memory.json,7cf1b5bc23bc11d21e05c54802530b461b5056ef25c42683f5a15449400f866a,-0.02367661831722845,0.45,0.0031787685892685213,0.05,0.4468212314107315,0.44932279459210955,0,0,368,CASH,0.4729713627285364,[],[],"[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,-0.023961413756565974,20260909T013716356200839Z/calls/000369-no_memory.json,06f098c8bcb6e366402c344d2f68250061cfaeec865a1b7662c3aabe9472ca6b,True,False,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
369,2022-01-05,2022-01-06,bear,-0.0075623072866654,-0.0034163290421868053,0.45,0.013336146604734533,0.05,0.4366638533952655,0.4493068232090126,5,5,369,CASH,0.4729545507463291,"[""episode-000367"", ""episode-000364"", ""episode-000366"", ""episode-000365"", ""episode-000363""]","[""episode-000367"", ""episode-000364"", ""episode-000366"", ""episode-000365"", ""episode-000363""]","[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,-0.003422178019402305,20260909T013716356200839Z/calls/000370-memory.json,71a0ccd7d9c9a5adb673d26cb7c9f6dc2b2b6a318d2d09ed1b7723411110826e,-0.0034163290421868053,0.45,0.013336146604734533,0.05,0.4366638533952655,0.4493068232090126,0,0,369,CASH,0.4729545507463291,[],[],"[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,-0.003422178019402305,20260909T013716356200839Z/calls/000370-no_memory.json,9654f0e74d340b4f0d1312989717a9c9a990715eb0edc12a32f351908ec46c5a,True,False,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
370,2022-01-06,2022-01-07,bear,-0.0359835257265502,-0.01619443422843414,0.45,0.001878062170907635,0.05,0.4481219378290924,0.4493039427925333,5,5,370,CASH,0.4729515187289824,"[""episode-000370"", ""episode-000365"", ""episode-000364"", ""episode-000367"", ""episode-000353""]","[""episode-000370"", ""episode-000365"", ""episode-000364"", ""episode-000367"", ""episode-000353""]","[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,-0.016326997215101762,20260909T013716356200839Z/calls/000371-memory.json,646f9fc8f18fb79ef1503bbfdc3ba1a1d15ced6730f92e1e6fd9895a182721b9,-0.01619443422843414,0.45,0.001878062170907635,0.05,0.4481219378290924,0.4493039427925333,0,0,370,CASH,0.4729515187289824,[],[],"[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,-0.016326997215101762,20260909T013716356200839Z/calls/000371-no_memory.json,f9a0f72709ff25b11d91de8d1345ae70f93e7bc307ac97c579e576b4bbf33e94,True,False,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
371,2022-01-07,2022-01-08,bear,0.0030158833312874,0.001348082707387066,0.45,0.00905250610618391,0.05,0.4409474938938161,0.4493037268114562,5,5,371,CASH,0.4729512913804802,"[""episode-000371"", ""episode-000365"", ""episode-000370"", ""episode-000364"", ""episode-000353""]","[""episode-000371"", ""episode-000365"", ""episode-000370"", ""episode-000364"", ""episode-000353""]","[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,0.0013471748597050025,20260909T013716356200839Z/calls/000372-memory.json,ecc7afcf187e4a3a529587a8c6fbef965a6efea54b620065f1eca3d474d51d00,0.001348082707387066,0.45,0.00905250610618391,0.05,0.4409474938938161,0.4493037268114562,0,0,371,CASH,0.4729512913804802,[],[],"[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,0.0013471748597050025,20260909T013716356200839Z/calls/000372-no_memory.json,92ea72d909f21f86f4ffe33349dbe5b58b5a4662c7d1f7479c4cabf315b62150,True,False,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
372,2022-01-08,2022-01-09,bear,0.0042306584757152,0.0019030494754646021,0.45,0.0007454194803102054,0.05,0.4507454194803102,0.4493036212988235,5,5,372,CASH,0.4729511803145511,"[""episode-000372"", ""episode-000371"", ""episode-000365"", ""episode-000370"", ""episode-000368""]","[""episode-000372"", ""episode-000371"", ""episode-000365"", ""episode-000370"", ""episode-000368""]","[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,0.0019012409708971793,20260909T013716356200839Z/calls/000373-memory.json,286a655d782521c18b711974e8d96d52ee91055cfa77eb48c6fd0e244716b579,0.0019030494754646021,0.45,0.0007454194803102054,0.05,0.4507454194803102,0.4493036212988235,0,0,372,CASH,0.4729511803145511,[],[],"[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,0.0019012409708971793,20260909T013716356200839Z/calls/000373-no_memory.json,1ab14ab63fa42be64d60f6c3431bfc3684b417174d4c9df35913f95bd3ec3e15,True,False,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
373,2022-01-09,2022-01-10,bear,-0.0003847229158653,-0.0001741702295249281,0.45,0.0010450983184130958,0.05,0.4510450983184131,0.44930379457355085,5,5,373,CASH,0.4729513627090009,"[""episode-000373"", ""episode-000372"", ""episode-000371"", ""episode-000370"", ""episode-000368""]","[""episode-000373"", ""episode-000372"", ""episode-000371"", ""episode-000370"", ""episode-000368""]","[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,-0.0001741853989207515,20260909T013716356200839Z/calls/000374-memory.json,cb9ffcfdcd021c04df4d6bf903da4d3373a63eba04caf94e1da491ab4db1c77c,-0.0001741702295249281,0.45,0.0010450983184130958,0.05,0.4510450983184131,0.44930379457355085,0,0,373,CASH,0.4729513627090009,[],[],"[""HIGH_VOLATILITY"", ""BEARISH_ROUTER""]",False,-0.0001741853989207515,20260909T013716356200839Z/calls/000374-no_memory.json,d9540ac99ceb8d66f82518f6c3e77a611130c325b48d1ecd9ca8315d5b6bdd01,True,False,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
