key,repeat,model,state_index,condition,first_condition,order,decision_date,return_date,regime,recorded,valid,model_digest,error,latency_seconds,prompt_tokens,output_tokens,stop_reason,request_sha256,response_record_sha256,transport_outcome_unknown,action,confidence,reason_labels,cited_episode_ids,desired_exposure,executed_exposure
r1-qwen3-coder_30b-s0621-hidden,1,qwen3-coder:30b,621,hidden,hidden,1,2023-09-13,2023-09-14,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,21.387421576306224,1168,78,stop,ba635aa9ac83c1ee51d49db7fbc7bb4093fa9ad8f16b81f4ef28dc616c527076,0b1cbd34c17d020778135872a9d28892ea091a4eabfbd881390324119e728843,False,ABSTAIN,0.914682127621086,DRAWDOWN_RISK|MIXED_OR_UNCERTAIN|INSUFFICIENT_EVIDENCE,,0.4550659452846251,0.45
r1-qwen3-coder_30b-s0621-exposed,1,qwen3-coder:30b,621,exposed,hidden,2,2023-09-13,2023-09-14,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,3.268106961622834,1947,135,stop,a1abed3e79b112faf6f591df9ff0a2c273f2b24d38a17b9a5f2c075aa7112117,42dbf2b9e181789d3f7789e4c2e2510aadf4bf10f1963cd2a5528ad126b2b3ad,False,ABSTAIN,0.914682127621086,TRANSITION_RISK|MEMORY_SUPPORT|MIXED_OR_UNCERTAIN,episode-000977|episode-000966|episode-000980|episode-000335|episode-000735,0.4550659452846251,0.45
r1-qwen3-coder_30b-s0759-exposed,1,qwen3-coder:30b,759,exposed,exposed,3,2024-01-29,2024-01-30,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.741941101849079,1944,128,stop,2994ec96d3b16447868d032122666bd3a61c530884d1b7dcbd8d5f20a381cf80,6e1bd826bc7a79334bc46adf0ffa6e0409c1ab3cd7f9b6001441f4540f65a990,False,ABSTAIN,0.7606511410556867,MIXED_OR_UNCERTAIN|INSUFFICIENT_EVIDENCE,episode-001010|episode-001005|episode-001022|episode-000250|episode-000803,0.4567782995775276,0.45
r1-qwen3-coder_30b-s0759-hidden,1,qwen3-coder:30b,759,hidden,exposed,4,2024-01-29,2024-01-30,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.8491406291723251,1158,73,stop,bc6608913511e3147257f7af0880cc3f256151b903d0627f4faab01570aa8a14,cc4f3ec224da8d354e8a093627deb0756fb3957ef2ef77c3c0216160b6c366e6,False,ABSTAIN,0.7606511410556867,HIGH_VOLATILITY|MIXED_OR_UNCERTAIN|INSUFFICIENT_EVIDENCE,,0.4567782995775276,0.45
r1-qwen3-coder_30b-s0811-exposed,1,qwen3-coder:30b,811,exposed,exposed,5,2024-03-21,2024-03-22,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,3.1239580288529396,1931,143,stop,637da6149254b54ad5857132c80e46efaa02ffe31b2cd4818b6d6bf0544fd949,d3b1b5d0e52a206ee45c4ffcc6c9aa74eaf899a94f5d17604507a672dd93827c,False,BTC,0.9993517584626784,POSITIVE_MOMENTUM|HIGH_VOLATILITY|BULLISH_ROUTER|NEGATIVE_MOMENTUM,episode-001175|episode-001173|episode-001171|episode-001174|episode-000087,0.4752494132007468,0.5
r1-qwen3-coder_30b-s0811-hidden,1,qwen3-coder:30b,811,hidden,exposed,6,2024-03-21,2024-03-22,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.011233938857913,1164,86,stop,8957548aae93aaa5ec4291262d3ddb189e9561e6f6072c8a643c3b4751a8459d,818adc6e036dd182f82ee433498ac08d41f377b12ac41e8592bdc31a8ab38e67,False,BTC,0.9993517584626784,HIGH_VOLATILITY|POSITIVE_MOMENTUM|BULLISH_ROUTER|HIGH_VOLATILITY,,0.4752494132007468,0.5
r1-qwen3-coder_30b-s0331-exposed,1,qwen3-coder:30b,331,exposed,exposed,7,2022-11-27,2022-11-28,bear,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.8360731974244118,1952,132,stop,662516760de45930f4865a47bc938824ca17c793045576080598c2dc82d143fc,a4e3f0ce75965c8260f873cc9176de0b676224ac2cb8b9752a0232c1c41db2e6,False,CASH,0.9999501575544506,DRAWDOWN_RISK|BEARISH_ROUTER|HIGH_VOLATILITY,episode-000694|episode-000693|episode-000695|episode-000689|episode-000350,0.36448042123874586,0.35000000000000003
r1-qwen3-coder_30b-s0331-hidden,1,qwen3-coder:30b,331,hidden,exposed,8,2022-11-27,2022-11-28,bear,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.8159381821751595,1190,69,stop,64f25a316f559204410f8546959e21fb5bd4b9b8753d47c322ce0fdecbc792d3,f9c2d2e37640656c34f8aa13fa97c5d0e9ff2858326235daaa7eeb05eece2edd,False,CASH,0.9999501575544506,DRAWDOWN_RISK|HIGH_VOLATILITY|BEARISH_ROUTER,,0.36448042123874586,0.35000000000000003
r1-qwen3-coder_30b-s0960-hidden,1,qwen3-coder:30b,960,hidden,hidden,9,2024-08-17,2024-08-18,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.233864391222596,1167,87,stop,e37f45dfaac2415dfd03e2834b54fe57810d8afe10f2353ce2e849a781dfc41b,3ee84ff327846690f31893a2fe0f25503a2eaa2c340061491828a81516ba878e,False,BTC,0.698686265433465,POSITIVE_MOMENTUM|MIXED_OR_UNCERTAIN|HIGH_VOLATILITY|MIXED_OR_UNCERTAIN,,0.45244405882256183,0.45
r1-qwen3-coder_30b-s0960-exposed,1,qwen3-coder:30b,960,exposed,hidden,10,2024-08-17,2024-08-18,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.8324348349124193,1942,127,stop,92ef64cb546b0218c093937d26d3ebff4dbf1cacd8f828a35beec413e49f03c6,c17ef1b38776f79b7b11255a5ffd2467ecb048532a66599a80ef0d92cdd0e3ad,False,ABSTAIN,0.698686265433465,MIXED_OR_UNCERTAIN|INSUFFICIENT_EVIDENCE,episode-000976|episode-001317|episode-000476|episode-000985|episode-000469,0.4236253250763809,0.4
r1-qwen3-coder_30b-s0372-exposed,1,qwen3-coder:30b,372,exposed,exposed,11,2023-01-07,2023-01-08,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,3.206607149913907,1958,138,stop,a6681ca9ddf3e9452f058deb57b295e906486f9bb4ad4e086118a401297488fc,cdb5793d705942230a45bb7447840cb7f2daff9242aad962fe5938601c4c0476,False,ABSTAIN,0.9599764281773387,MEMORY_SUPPORT|HIGH_VOLATILITY|NEGATIVE_MOMENTUM,episode-000733|episode-000670|episode-000668|episode-000669|episode-000676,0.4765062341725479,0.45
r1-qwen3-coder_30b-s0372-hidden,1,qwen3-coder:30b,372,hidden,exposed,12,2023-01-07,2023-01-08,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.902351288124919,1172,79,stop,57658a51088960a5cc62ce3254fc06ce50af2477f5e807ea24e9b880be729531,13be3915af18be0e00c0b76c6a8092dcfc504471816f8972d711c3e7ddce0f09,False,ABSTAIN,0.9599764281773387,DRAWDOWN_RISK|MIXED_OR_UNCERTAIN|INSUFFICIENT_EVIDENCE,,0.4765062341725479,0.45
r1-qwen3-coder_30b-s0738-exposed,1,qwen3-coder:30b,738,exposed,exposed,13,2024-01-08,2024-01-09,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,3.0866677947342396,1917,143,stop,1fd7b0a35f77a80051bbd8eb3ffdf964a4116f3f9d1407e50bafaa47c5834b1e,df99c40f04c4edbbf9dca8004330551db2fdca21d8ba8b9656f7837bbf364230,False,BTC,0.9985097618457832,HIGH_VOLATILITY|POSITIVE_MOMENTUM|BULLISH_ROUTER|HIGH_VOLATILITY,episode-001062|episode-001097|episode-000836|episode-001066|episode-001058,0.4759586199623913,0.5
r1-qwen3-coder_30b-s0738-hidden,1,qwen3-coder:30b,738,hidden,exposed,14,2024-01-08,2024-01-09,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.9690654184669256,1146,88,stop,be1eb7cce182198858502fa34470f4d5c1ec193ac1369b384cd20b29b85576aa,5a69fb6760bcc3979aee2598fdaf7cdcb14e166fa3664ae2f93b570b36f4636e,False,BTC,0.9985097618457832,HIGH_VOLATILITY|POSITIVE_MOMENTUM|HIGH_VOLATILITY|POSITIVE_MOMENTUM,,0.4759586199623913,0.5
