model,comparison,repeat_a,repeat_b,scope,regime,eligible_states,omitted_invalid_or_missing_pairs,valid_pairs,advice_disagreements,desired_disagreements,execution_disagreements,advice_disagreement_rate,execution_disagreement_rate,conditional_transmission_rate,desired_merges,projection_merges,abstention_difference_pp,exposure_difference_pp
qwen3-coder:30b,within_exposed,1,2,available_valid_pairs,all,1244,2,1242,4,4,2,0.00322061191626409,0.001610305958132045,0.5,0,2,0.1610305958132045,0.0
qwen3-coder:30b,within_exposed,1,2,available_valid_pairs,bear,380,0,380,0,0,0,0.0,0.0,,0,0,0.0,0.0
qwen3-coder:30b,within_exposed,1,2,available_valid_pairs,bull,388,0,388,2,2,1,0.005154639175257732,0.002577319587628866,0.5,0,1,0.5154639175257731,-0.012886597938144327
qwen3-coder:30b,within_exposed,1,2,available_valid_pairs,mix,476,2,474,2,2,1,0.004219409282700422,0.002109704641350211,0.5,0,1,0.0,0.010548523206751053
qwen3-coder:30b,within_exposed,1,2,all_responses_valid_states,all,1242,0,1242,4,4,2,0.00322061191626409,0.001610305958132045,0.5,0,2,0.1610305958132045,0.0
qwen3-coder:30b,within_exposed,1,2,all_responses_valid_states,bear,380,0,380,0,0,0,0.0,0.0,,0,0,0.0,0.0
qwen3-coder:30b,within_exposed,1,2,all_responses_valid_states,bull,388,0,388,2,2,1,0.005154639175257732,0.002577319587628866,0.5,0,1,0.5154639175257731,-0.012886597938144327
qwen3-coder:30b,within_exposed,1,2,all_responses_valid_states,mix,474,0,474,2,2,1,0.004219409282700422,0.002109704641350211,0.5,0,1,0.0,0.010548523206751053
qwen3-coder:30b,within_exposed,1,3,available_valid_pairs,all,1244,2,1242,3,3,1,0.0024154589371980675,0.0008051529790660225,0.3333333333333333,0,2,-0.08051529790660225,0.004025764895330112
qwen3-coder:30b,within_exposed,1,3,available_valid_pairs,bear,380,0,380,0,0,0,0.0,0.0,,0,0,0.0,0.0
qwen3-coder:30b,within_exposed,1,3,available_valid_pairs,bull,388,0,388,0,0,0,0.0,0.0,,0,0,0.0,0.0
qwen3-coder:30b,within_exposed,1,3,available_valid_pairs,mix,476,2,474,3,3,1,0.006329113924050633,0.002109704641350211,0.3333333333333333,0,2,-0.2109704641350211,0.010548523206751053
qwen3-coder:30b,within_exposed,1,3,all_responses_valid_states,all,1242,0,1242,3,3,1,0.0024154589371980675,0.0008051529790660225,0.3333333333333333,0,2,-0.08051529790660225,0.004025764895330112
qwen3-coder:30b,within_exposed,1,3,all_responses_valid_states,bear,380,0,380,0,0,0,0.0,0.0,,0,0,0.0,0.0
qwen3-coder:30b,within_exposed,1,3,all_responses_valid_states,bull,388,0,388,0,0,0,0.0,0.0,,0,0,0.0,0.0
qwen3-coder:30b,within_exposed,1,3,all_responses_valid_states,mix,474,0,474,3,3,1,0.006329113924050633,0.002109704641350211,0.3333333333333333,0,2,-0.2109704641350211,0.010548523206751053
qwen3-coder:30b,within_exposed,2,3,available_valid_pairs,all,1244,2,1242,5,5,1,0.004025764895330112,0.0008051529790660225,0.2,0,4,-0.24154589371980675,0.004025764895330112
qwen3-coder:30b,within_exposed,2,3,available_valid_pairs,bear,380,0,380,0,0,0,0.0,0.0,,0,0,0.0,0.0
qwen3-coder:30b,within_exposed,2,3,available_valid_pairs,bull,388,0,388,2,2,1,0.005154639175257732,0.002577319587628866,0.5,0,1,-0.5154639175257731,0.012886597938144327
qwen3-coder:30b,within_exposed,2,3,available_valid_pairs,mix,476,2,474,3,3,0,0.006329113924050633,0.0,0.0,0,3,-0.2109704641350211,0.0
qwen3-coder:30b,within_exposed,2,3,all_responses_valid_states,all,1242,0,1242,5,5,1,0.004025764895330112,0.0008051529790660225,0.2,0,4,-0.24154589371980675,0.004025764895330112
qwen3-coder:30b,within_exposed,2,3,all_responses_valid_states,bear,380,0,380,0,0,0,0.0,0.0,,0,0,0.0,0.0
qwen3-coder:30b,within_exposed,2,3,all_responses_valid_states,bull,388,0,388,2,2,1,0.005154639175257732,0.002577319587628866,0.5,0,1,-0.5154639175257731,0.012886597938144327
qwen3-coder:30b,within_exposed,2,3,all_responses_valid_states,mix,474,0,474,3,3,0,0.006329113924050633,0.0,0.0,0,3,-0.2109704641350211,0.0
qwen3-coder:30b,within_hidden,1,2,available_valid_pairs,all,1244,0,1244,18,18,9,0.014469453376205787,0.007234726688102894,0.5,0,9,0.08038585209003216,-0.01205787781350482
qwen3-coder:30b,within_hidden,1,2,available_valid_pairs,bear,380,0,380,1,1,0,0.002631578947368421,0.0,0.0,0,1,0.2631578947368421,0.0
qwen3-coder:30b,within_hidden,1,2,available_valid_pairs,bull,388,0,388,1,1,0,0.002577319587628866,0.0,0.0,0,1,-0.25773195876288657,0.0
qwen3-coder:30b,within_hidden,1,2,available_valid_pairs,mix,476,0,476,16,16,9,0.03361344537815126,0.018907563025210083,0.5625,0,7,0.21008403361344538,-0.0315126050420168
qwen3-coder:30b,within_hidden,1,2,all_responses_valid_states,all,1242,0,1242,17,17,8,0.013687600644122383,0.00644122383252818,0.47058823529411764,0,9,0.1610305958132045,-0.01610305958132045
qwen3-coder:30b,within_hidden,1,2,all_responses_valid_states,bear,380,0,380,1,1,0,0.002631578947368421,0.0,0.0,0,1,0.2631578947368421,0.0
qwen3-coder:30b,within_hidden,1,2,all_responses_valid_states,bull,388,0,388,1,1,0,0.002577319587628866,0.0,0.0,0,1,-0.25773195876288657,0.0
