model,condition,repeat,planned,recorded,valid,invalid_or_missing,BTC_count,BTC_valid_rate,CASH_count,CASH_valid_rate,ABSTAIN_count,ABSTAIN_valid_rate,mean_latency_seconds,mean_executed_exposure
qwen3-coder:30b,exposed,1,1244,1244,1242,2,370,0.29790660225442833,389,0.3132045088566828,483,0.3888888888888889,2.9664580502496416,0.44557165861513687
qwen3-coder:30b,exposed,2,1244,1244,1242,2,371,0.29871175523349436,390,0.3140096618357488,481,0.38727858293075684,2.9890300598312947,0.44557165861513687
qwen3-coder:30b,exposed,3,1244,1244,1243,1,368,0.29605792437650846,390,0.3137570394207562,485,0.3901850362027353,2.9747460837808357,0.4454947707160097
qwen3-coder:30b,hidden,1,1244,1244,1244,0,489,0.39308681672025725,383,0.30787781350482313,372,0.2990353697749196,1.877039253936296,0.44835209003215437
qwen3-coder:30b,hidden,2,1244,1244,1244,0,490,0.39389067524115756,383,0.30787781350482313,371,0.2982315112540193,1.8711959107725062,0.4484726688102894
qwen3-coder:30b,hidden,3,1244,1244,1244,0,494,0.3971061093247588,381,0.3062700964630225,369,0.2966237942122186,1.8711907947645599,0.44835209003215437
gemma4:latest,exposed,1,1244,1244,1244,0,350,0.28135048231511256,372,0.2990353697749196,522,0.41961414790996787,2.447605615005592,0.44505627009646304
gemma4:latest,exposed,2,1244,1244,1244,0,349,0.2805466237942122,373,0.29983922829581994,522,0.41961414790996787,2.4480462784435706,0.445016077170418
gemma4:latest,exposed,3,1244,1244,1244,0,350,0.28135048231511256,372,0.2990353697749196,522,0.41961414790996787,2.4501252194426333,0.44509646302250805
gemma4:latest,hidden,1,1244,1244,1244,0,377,0.30305466237942125,358,0.2877813504823151,509,0.4091639871382637,1.9419215271950152,0.44590032154340836
gemma4:latest,hidden,2,1244,1244,1244,0,377,0.30305466237942125,358,0.2877813504823151,509,0.4091639871382637,1.9289608263826878,0.44586012861736335
gemma4:latest,hidden,3,1244,1244,1244,0,377,0.30305466237942125,358,0.2877813504823151,509,0.4091639871382637,1.9462475473842795,0.44586012861736335
