[2026-09-25T01:43:39.960937Z] new extension in runs/extension: 14928 planned calls
[2026-09-25T01:43:40.478293Z] model block: qwen3-coder:30b (repeat 1)
[2026-09-25T01:44:01.868938Z] 1/14928 r1-qwen3-coder_30b-s0621-hidden valid=True action=ABSTAIN latency=21.4s
[2026-09-25T01:44:05.140524Z] 2/14928 r1-qwen3-coder_30b-s0621-exposed valid=True action=ABSTAIN latency=3.3s
[2026-09-25T01:44:07.885902Z] 3/14928 r1-qwen3-coder_30b-s0759-exposed valid=True action=ABSTAIN latency=2.7s
[2026-09-25T01:44:09.738191Z] 4/14928 r1-qwen3-coder_30b-s0759-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T01:44:12.865564Z] 5/14928 r1-qwen3-coder_30b-s0811-exposed valid=True action=BTC latency=3.1s
[2026-09-25T01:44:14.879944Z] 6/14928 r1-qwen3-coder_30b-s0811-hidden valid=True action=BTC latency=2.0s
[2026-09-25T01:44:17.719479Z] 7/14928 r1-qwen3-coder_30b-s0331-exposed valid=True action=CASH latency=2.8s
[2026-09-25T01:44:19.538710Z] 8/14928 r1-qwen3-coder_30b-s0331-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:44:21.776015Z] 9/14928 r1-qwen3-coder_30b-s0960-hidden valid=True action=BTC latency=2.2s
[2026-09-25T01:44:24.611883Z] 10/14928 r1-qwen3-coder_30b-s0960-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T01:44:27.830944Z] 11/14928 r1-qwen3-coder_30b-s0372-exposed valid=True action=ABSTAIN latency=3.2s
[2026-09-25T01:44:29.736456Z] 12/14928 r1-qwen3-coder_30b-s0372-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T01:44:32.826452Z] 13/14928 r1-qwen3-coder_30b-s0738-exposed valid=True action=BTC latency=3.1s
[2026-09-25T01:44:34.798600Z] 14/14928 r1-qwen3-coder_30b-s0738-hidden valid=True action=BTC latency=2.0s
[2026-09-25T01:44:36.807930Z] 15/14928 r1-qwen3-coder_30b-s0674-hidden valid=True action=BTC latency=2.0s
[2026-09-25T01:44:40.022766Z] 16/14928 r1-qwen3-coder_30b-s0674-exposed valid=True action=BTC latency=3.2s
[2026-09-25T01:44:42.899424Z] 17/14928 r1-qwen3-coder_30b-s0266-exposed valid=True action=CASH latency=2.9s
[2026-09-25T01:44:44.671670Z] 18/14928 r1-qwen3-coder_30b-s0266-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:44:46.456607Z] 19/14928 r1-qwen3-coder_30b-s0069-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:44:49.284052Z] 20/14928 r1-qwen3-coder_30b-s0069-exposed valid=True action=CASH latency=2.8s
[2026-09-25T01:44:52.221366Z] 21/14928 r1-qwen3-coder_30b-s0346-exposed valid=True action=CASH latency=2.9s
[2026-09-25T01:44:53.859467Z] 22/14928 r1-qwen3-coder_30b-s0346-hidden valid=True action=CASH latency=1.6s
[2026-09-25T01:44:56.853458Z] 23/14928 r1-qwen3-coder_30b-s0937-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T01:44:58.722608Z] 24/14928 r1-qwen3-coder_30b-s0937-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T01:45:00.510084Z] 25/14928 r1-qwen3-coder_30b-s0802-hidden valid=True action=BTC latency=1.8s
[2026-09-25T01:45:03.671682Z] 26/14928 r1-qwen3-coder_30b-s0802-exposed valid=True action=BTC latency=3.2s
[2026-09-25T01:45:06.513010Z] 27/14928 r1-qwen3-coder_30b-s0536-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T01:45:08.403095Z] 28/14928 r1-qwen3-coder_30b-s0536-hidden valid=True action=BTC latency=1.9s
[2026-09-25T01:45:10.205440Z] 29/14928 r1-qwen3-coder_30b-s1173-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:45:13.112894Z] 30/14928 r1-qwen3-coder_30b-s1173-exposed valid=True action=CASH latency=2.9s
[2026-09-25T01:45:15.837347Z] 31/14928 r1-qwen3-coder_30b-s0210-exposed valid=True action=CASH latency=2.7s
[2026-09-25T01:45:17.598036Z] 32/14928 r1-qwen3-coder_30b-s0210-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:45:19.354516Z] 33/14928 r1-qwen3-coder_30b-s0333-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:45:22.271347Z] 34/14928 r1-qwen3-coder_30b-s0333-exposed valid=True action=CASH latency=2.9s
[2026-09-25T01:45:25.246752Z] 35/14928 r1-qwen3-coder_30b-s0855-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T01:45:27.165774Z] 36/14928 r1-qwen3-coder_30b-s0855-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T01:45:30.162990Z] 37/14928 r1-qwen3-coder_30b-s1041-exposed valid=True action=BTC latency=3.0s
[2026-09-25T01:45:32.176420Z] 38/14928 r1-qwen3-coder_30b-s1041-hidden valid=True action=BTC latency=2.0s
[2026-09-25T01:45:34.990302Z] 39/14928 r1-qwen3-coder_30b-s0548-exposed valid=True action=BTC latency=2.8s
[2026-09-25T01:45:37.017450Z] 40/14928 r1-qwen3-coder_30b-s0548-hidden valid=True action=BTC latency=2.0s
[2026-09-25T01:45:38.613578Z] 41/14928 r1-qwen3-coder_30b-s0112-hidden valid=True action=CASH latency=1.6s
[2026-09-25T01:45:41.519851Z] 42/14928 r1-qwen3-coder_30b-s0112-exposed valid=True action=CASH latency=2.9s
[2026-09-25T01:45:44.523664Z] 43/14928 r1-qwen3-coder_30b-s1012-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T01:45:46.439679Z] 44/14928 r1-qwen3-coder_30b-s1012-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T01:45:49.678863Z] 45/14928 r1-qwen3-coder_30b-s0184-exposed valid=True action=CASH latency=3.2s
[2026-09-25T01:45:51.477604Z] 46/14928 r1-qwen3-coder_30b-s0184-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:45:53.327337Z] 47/14928 r1-qwen3-coder_30b-s0593-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T01:45:56.765121Z] 48/14928 r1-qwen3-coder_30b-s0593-exposed valid=True action=ABSTAIN latency=3.4s
[2026-09-25T01:45:59.826153Z] 49/14928 r1-qwen3-coder_30b-s0623-exposed valid=True action=ABSTAIN latency=3.1s
[2026-09-25T01:46:01.679432Z] 50/14928 r1-qwen3-coder_30b-s0623-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T01:46:03.535957Z] 51/14928 r1-qwen3-coder_30b-s0447-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T01:46:06.517339Z] 52/14928 r1-qwen3-coder_30b-s0447-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T01:46:08.779656Z] 53/14928 r1-qwen3-coder_30b-s0886-hidden valid=True action=BTC latency=2.3s
[2026-09-25T01:46:11.818763Z] 54/14928 r1-qwen3-coder_30b-s0886-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T01:46:13.688531Z] 55/14928 r1-qwen3-coder_30b-s0101-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T01:46:16.579019Z] 56/14928 r1-qwen3-coder_30b-s0101-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-25T01:46:18.367981Z] 57/14928 r1-qwen3-coder_30b-s0004-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:46:21.252963Z] 58/14928 r1-qwen3-coder_30b-s0004-exposed valid=True action=CASH latency=2.9s
[2026-09-25T01:46:24.380019Z] 59/14928 r1-qwen3-coder_30b-s0010-exposed valid=True action=CASH latency=3.1s
[2026-09-25T01:46:26.137314Z] 60/14928 r1-qwen3-coder_30b-s0010-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:46:29.306926Z] 61/14928 r1-qwen3-coder_30b-s0991-exposed valid=True action=ABSTAIN latency=3.2s
[2026-09-25T01:46:31.241504Z] 62/14928 r1-qwen3-coder_30b-s0991-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T01:46:33.221395Z] 63/14928 r1-qwen3-coder_30b-s1234-hidden valid=True action=BTC latency=2.0s
[2026-09-25T01:46:36.267527Z] 64/14928 r1-qwen3-coder_30b-s1234-exposed valid=True action=BTC latency=3.0s
[2026-09-25T01:46:38.843081Z] 65/14928 r1-qwen3-coder_30b-s0072-exposed valid=True action=CASH latency=2.6s
[2026-09-25T01:46:40.677619Z] 66/14928 r1-qwen3-coder_30b-s0072-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:46:43.866618Z] 67/14928 r1-qwen3-coder_30b-s0769-exposed valid=True action=BTC latency=3.2s
[2026-09-25T01:46:45.657919Z] 68/14928 r1-qwen3-coder_30b-s0769-hidden valid=True action=BTC latency=1.8s
[2026-09-25T01:46:47.761463Z] 69/14928 r1-qwen3-coder_30b-s0853-hidden valid=True action=BTC latency=2.1s
[2026-09-25T01:46:51.120918Z] 70/14928 r1-qwen3-coder_30b-s0853-exposed valid=True action=ABSTAIN latency=3.4s
[2026-09-25T01:46:54.601708Z] 71/14928 r1-qwen3-coder_30b-s0569-exposed valid=True action=ABSTAIN latency=3.5s
[2026-09-25T01:46:56.424468Z] 72/14928 r1-qwen3-coder_30b-s0569-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T01:46:58.390502Z] 73/14928 r1-qwen3-coder_30b-s0777-hidden valid=True action=BTC latency=2.0s
[2026-09-25T01:47:01.439032Z] 74/14928 r1-qwen3-coder_30b-s0777-exposed valid=True action=BTC latency=3.0s
[2026-09-25T01:47:04.361147Z] 75/14928 r1-qwen3-coder_30b-s1100-exposed valid=True action=BTC latency=2.9s
[2026-09-25T01:47:06.429472Z] 76/14928 r1-qwen3-coder_30b-s1100-hidden valid=True action=BTC latency=2.1s
[2026-09-25T01:47:09.162711Z] 77/14928 r1-qwen3-coder_30b-s0445-exposed valid=True action=BTC latency=2.7s
[2026-09-25T01:47:10.939695Z] 78/14928 r1-qwen3-coder_30b-s0445-hidden valid=True action=BTC latency=1.8s
[2026-09-25T01:47:13.144755Z] 79/14928 r1-qwen3-coder_30b-s0369-hidden valid=True action=BTC latency=2.2s
[2026-09-25T01:47:15.947541Z] 80/14928 r1-qwen3-coder_30b-s0369-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T01:47:19.201529Z] 81/14928 r1-qwen3-coder_30b-s0173-exposed valid=True action=CASH latency=3.2s
[2026-09-25T01:47:21.061874Z] 82/14928 r1-qwen3-coder_30b-s0173-hidden valid=True action=CASH latency=1.9s
[2026-09-25T01:47:23.900122Z] 83/14928 r1-qwen3-coder_30b-s1198-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T01:47:25.621153Z] 84/14928 r1-qwen3-coder_30b-s1198-hidden valid=True action=BTC latency=1.7s
[2026-09-25T01:47:29.053328Z] 85/14928 r1-qwen3-coder_30b-s0389-exposed valid=True action=BTC latency=3.4s
[2026-09-25T01:47:31.023120Z] 86/14928 r1-qwen3-coder_30b-s0389-hidden valid=True action=BTC latency=2.0s
[2026-09-25T01:47:32.849624Z] 87/14928 r1-qwen3-coder_30b-s0189-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:47:35.823057Z] 88/14928 r1-qwen3-coder_30b-s0189-exposed valid=True action=CASH latency=3.0s
[2026-09-25T01:47:38.765672Z] 89/14928 r1-qwen3-coder_30b-s0345-exposed valid=True action=CASH latency=2.9s
[2026-09-25T01:47:40.361217Z] 90/14928 r1-qwen3-coder_30b-s0345-hidden valid=True action=CASH latency=1.6s
[2026-09-25T01:47:41.924917Z] 91/14928 r1-qwen3-coder_30b-s1181-hidden valid=True action=CASH latency=1.6s
[2026-09-25T01:47:44.437660Z] 92/14928 r1-qwen3-coder_30b-s1181-exposed valid=True action=CASH latency=2.5s
[2026-09-25T01:47:47.126260Z] 93/14928 r1-qwen3-coder_30b-s0014-exposed valid=True action=CASH latency=2.7s
[2026-09-25T01:47:48.892353Z] 94/14928 r1-qwen3-coder_30b-s0014-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:47:51.369930Z] 95/14928 r1-qwen3-coder_30b-s0109-exposed valid=True action=CASH latency=2.5s
[2026-09-25T01:47:53.150009Z] 96/14928 r1-qwen3-coder_30b-s0109-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T01:47:55.936834Z] 97/14928 r1-qwen3-coder_30b-s0139-exposed valid=True action=CASH latency=2.8s
[2026-09-25T01:47:57.761090Z] 98/14928 r1-qwen3-coder_30b-s0139-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:47:59.484866Z] 99/14928 r1-qwen3-coder_30b-s0339-hidden valid=True action=CASH latency=1.7s
[2026-09-25T01:48:02.514812Z] 100/14928 r1-qwen3-coder_30b-s0339-exposed valid=True action=CASH latency=3.0s
[2026-09-25T01:48:05.816227Z] 101/14928 r1-qwen3-coder_30b-s1031-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T01:48:07.748001Z] 102/14928 r1-qwen3-coder_30b-s1031-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T01:48:11.050184Z] 103/14928 r1-qwen3-coder_30b-s0529-exposed valid=True action=ABSTAIN latency=3.3s
[2026-09-25T01:48:12.897504Z] 104/14928 r1-qwen3-coder_30b-s0529-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T01:48:15.554798Z] 105/14928 r1-qwen3-coder_30b-s0085-exposed valid=True action=ABSTAIN latency=2.7s
[2026-09-25T01:48:17.786415Z] 106/14928 r1-qwen3-coder_30b-s0085-hidden valid=True action=BTC latency=2.2s
[2026-09-25T01:48:20.711543Z] 107/14928 r1-qwen3-coder_30b-s0031-exposed valid=True action=CASH latency=2.9s
[2026-09-25T01:48:22.441838Z] 108/14928 r1-qwen3-coder_30b-s0031-hidden valid=True action=CASH latency=1.7s
[2026-09-25T01:48:25.520849Z] 109/14928 r1-qwen3-coder_30b-s1081-exposed valid=True action=BTC latency=3.1s
[2026-09-25T01:48:27.627100Z] 110/14928 r1-qwen3-coder_30b-s1081-hidden valid=True action=BTC latency=2.1s
[2026-09-25T01:48:30.444590Z] 111/14928 r1-qwen3-coder_30b-s0864-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T01:48:32.340882Z] 112/14928 r1-qwen3-coder_30b-s0864-hidden valid=True action=ABSTAIN latency=1.9s
