key,repeat,model,state_index,condition,first_condition,order,decision_date,return_date,regime,recorded,valid,model_digest,error,latency_seconds,prompt_tokens,output_tokens,stop_reason,request_sha256,response_record_sha256,transport_outcome_unknown,action,confidence,reason_labels,cited_episode_ids,desired_exposure,executed_exposure
r1-qwen3-coder_30b-s0884-exposed,1,qwen3-coder:30b,884,exposed,exposed,1,2024-06-02,2024-06-03,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,20.29369866102934,1956,136,stop,7790bf7a3a95b64f2f0f1df324a4c04923831a44c35981c5d1f47f50dadbd79c,0335114af3c23a67bed6f1b3622f505e317b86d06d928acb365eb8caa89f00c8,False,ABSTAIN,0.8954245877506227,TRANSITION_RISK|MEMORY_SUPPORT|MIXED_OR_UNCERTAIN,episode-001246|episode-001247|episode-001122|episode-001241|episode-001131,0.4535147648038835,0.45
r1-qwen3-coder_30b-s0884-hidden,1,qwen3-coder:30b,884,hidden,exposed,2,2024-06-02,2024-06-03,mix,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.753304060548544,1170,65,stop,1489b2b499cd33f66a49d6e57d5b5053e8f25ae70c2e11dae3cbdeff24e5b8ee,ff633de37a75a4fd74786462f07ce511d3417a642f81c76b949b646e77fdccb6,False,ABSTAIN,0.8954245877506227,DRAWDOWN_RISK|MIXED_OR_UNCERTAIN,,0.4535147648038835,0.45
r1-qwen3-coder_30b-s0166-hidden,1,qwen3-coder:30b,166,hidden,hidden,3,2022-06-15,2022-06-16,bear,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.8658946920186281,1172,69,stop,b452c7b0ed2a869902492313d6b1d3256fa22cd6bebeb811515813656d9b7aa3,2d919d5374ea4aa43fefb25d3a2d062d147ed6fdd05a6fd3f9fd2e3b859a02f6,False,CASH,0.999999998654752,DRAWDOWN_RISK|HIGH_VOLATILITY|BEARISH_ROUTER,,0.40979430844029213,0.4
r1-qwen3-coder_30b-s0166-exposed,1,qwen3-coder:30b,166,exposed,hidden,4,2022-06-15,2022-06-16,bear,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.951338268816471,1947,132,stop,8ce5a6f5a9f815dd3a14d2145f6abc8eb52f0ae204464c234db45e50db3f9cd2,844d6d7f01c4f0f26e6f5840fd83ba0075d704681895453f605016b213d6902d,False,CASH,0.999999998654752,DRAWDOWN_RISK|HIGH_VOLATILITY|BEARISH_ROUTER,episode-000529|episode-000530|episode-000172|episode-000139|episode-000496,0.40979430844029213,0.4
r1-qwen3-coder_30b-s0814-hidden,1,qwen3-coder:30b,814,hidden,hidden,5,2024-03-24,2024-03-25,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.9923222977668047,1166,87,stop,85303c0d4c91c2ae694366f5458d64f20aa695907e7411a52c773afe201a2584,88841ebd10098d6bad219a55b92526e2596e3d0f778a854dd446cff3263c399c,False,BTC,0.999915955521056,HIGH_VOLATILITY|POSITIVE_MOMENTUM|HIGH_VOLATILITY|POSITIVE_MOMENTUM,,0.47524307759205076,0.5
r1-qwen3-coder_30b-s0814-exposed,1,qwen3-coder:30b,814,exposed,hidden,6,2024-03-24,2024-03-25,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.770694639533758,1975,120,stop,7d841a8535072bd6342d5ce841ac6f78b1b41fb31d3c17b622a6448953d061ac,3e5318d2388e07f271bd50153d454406cc4fb4055508f072e7741573d44ec68b,False,BTC,0.999915955521056,HIGH_VOLATILITY|BULLISH_ROUTER|POSITIVE_MOMENTUM,episode-001178|episode-000296|episode-000295|episode-000827,0.47524307759205076,0.5
r1-qwen3-coder_30b-s0449-exposed,1,qwen3-coder:30b,449,exposed,exposed,7,2023-03-25,2023-03-26,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.9041934441775084,1874,134,stop,61fc9fa85ccb7602e4b70112dd5239e9ce2a215367b561d57f03bc4af14b8607,bc734344d1cad75b7bae2b669a453b6340ea01a42f04ca128066434af4ccbb58,False,BTC,0.7027351666924005,HIGH_VOLATILITY|BULLISH_ROUTER|POSITIVE_MOMENTUM,episode-000317|episode-000098|episode-000101|episode-000776|episode-000099,0.49600413310142283,0.5
r1-qwen3-coder_30b-s0449-hidden,1,qwen3-coder:30b,449,hidden,exposed,8,2023-03-25,2023-03-26,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,1.7528012748807669,1165,77,stop,e04068559f54393cbf67ca8e7e7cd067222ccd1b3f15805040e9669a1fb2c7d1,c1c148be0129ff0e9e68e30a667d6748b2b52793cf76c9907f293808ca9482fc,False,BTC,0.7027351666924005,HIGH_VOLATILITY|POSITIVE_MOMENTUM|BULLISH_ROUTER,,0.49600413310142283,0.5
r1-qwen3-coder_30b-s0695-hidden,1,qwen3-coder:30b,695,hidden,hidden,9,2023-11-26,2023-11-27,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,2.0492351073771715,1169,87,stop,307d0e5341396a354170175abe1bcd72d6b0ed68f73c0cae7a16c8ec6c899112,47a964396eabfbafc538b17c5d2fbaa55866d2f66992296931002aea344a8613,False,BTC,0.999445983308852,HIGH_VOLATILITY|POSITIVE_MOMENTUM|HIGH_VOLATILITY|POSITIVE_MOMENTUM,,0.48590911941093223,0.5
r1-qwen3-coder_30b-s0695-exposed,1,qwen3-coder:30b,695,exposed,hidden,10,2023-11-26,2023-11-27,bull,True,True,06c1097efce0431c2045fe7b2e5108366e43bee1b4603a7aded8f21689e90bca,,3.0415428038686514,1940,140,stop,132119152d45c5f707986abadbada7e06ed8ae21bfabee7706b1aedba2c9a913,d46a77dccf172dc2f12a7fdbdbde3f83af32c584c434f50dfe301b63c479354b,False,BTC,0.999445983308852,HIGH_VOLATILITY|POSITIVE_MOMENTUM|BULLISH_ROUTER|HIGH_VOLATILITY,episode-000837|episode-001056|episode-000838|episode-001057|episode-001058,0.48590911941093223,0.5
