model,comparison,repeat_a,repeat_b,condition_a,condition_b,state_index,decision_date,regime,all_responses_valid_for_state,advice_disagreement,desired_disagreement,execution_disagreement,abstention_difference,exposure_difference,confidence_absolute_difference,reason_set_disagreement,citation_set_disagreement
qwen3-coder:30b,between_contexts,1,1,exposed,hidden,47,2022-02-16,bear,True,0,0,0,0,0.0,0.0,1,1
qwen3-coder:30b,between_contexts,1,1,exposed,hidden,166,2022-06-15,bear,True,0,0,0,0,0.0,0.0,0,1
qwen3-coder:30b,between_contexts,1,1,exposed,hidden,261,2022-09-18,bear,True,0,0,0,0,0.0,0.0,0,1
qwen3-coder:30b,between_contexts,1,1,exposed,hidden,410,2023-02-14,mix,True,0,0,0,0,0.0,0.0,0,1
qwen3-coder:30b,between_contexts,1,1,exposed,hidden,449,2023-03-25,bull,True,0,0,0,0,0.0,0.0,0,1
qwen3-coder:30b,between_contexts,1,1,exposed,hidden,608,2023-08-31,mix,True,0,0,0,0,0.0,0.0,0,1
qwen3-coder:30b,between_contexts,1,1,exposed,hidden,695,2023-11-26,bull,True,0,0,0,0,0.0,0.0,1,1
qwen3-coder:30b,between_contexts,1,1,exposed,hidden,814,2024-03-24,bull,True,0,0,0,0,0.0,0.0,1,1
qwen3-coder:30b,between_contexts,1,1,exposed,hidden,884,2024-06-02,mix,True,0,0,0,0,0.0,0.0,1,1
qwen3-coder:30b,between_contexts,1,1,exposed,hidden,950,2024-08-07,bear,True,0,0,0,0,0.0,0.0,1,1
qwen3-coder:30b,between_contexts,1,1,exposed,hidden,1032,2024-10-28,mix,True,0,0,0,0,0.0,0.0,1,1
qwen3-coder:30b,between_contexts,1,1,exposed,hidden,1102,2025-01-06,bull,True,0,0,0,0,0.0,0.0,0,1
gemma4:latest,between_contexts,1,1,exposed,hidden,47,2022-02-16,bear,True,0,0,0,0,0.0,0.0,1,1
gemma4:latest,between_contexts,1,1,exposed,hidden,166,2022-06-15,bear,True,0,0,0,0,0.0,0.050000000000000044,1,1
gemma4:latest,between_contexts,1,1,exposed,hidden,261,2022-09-18,bear,True,0,0,0,0,0.0,0.050000000000000044,1,1
gemma4:latest,between_contexts,1,1,exposed,hidden,410,2023-02-14,mix,True,0,0,0,0,0.0,0.0,0,0
gemma4:latest,between_contexts,1,1,exposed,hidden,449,2023-03-25,bull,True,1,1,1,1,-0.04999999999999999,0.0,1,0
gemma4:latest,between_contexts,1,1,exposed,hidden,608,2023-08-31,mix,True,0,0,0,0,0.0,0.09999999999999998,0,0
gemma4:latest,between_contexts,1,1,exposed,hidden,695,2023-11-26,bull,True,0,0,0,0,0.0,0.0,1,1
gemma4:latest,between_contexts,1,1,exposed,hidden,814,2024-03-24,bull,True,0,0,0,0,0.0,0.0,0,1
gemma4:latest,between_contexts,1,1,exposed,hidden,884,2024-06-02,mix,True,0,0,0,0,0.0,0.09999999999999998,1,0
gemma4:latest,between_contexts,1,1,exposed,hidden,950,2024-08-07,bear,True,0,0,0,0,0.0,0.0,1,1
gemma4:latest,between_contexts,1,1,exposed,hidden,1032,2024-10-28,mix,True,0,0,0,0,0.0,0.0,0,0
gemma4:latest,between_contexts,1,1,exposed,hidden,1102,2025-01-06,bull,True,0,0,0,0,0.0,0.0,1,1
