key,repeat,model,state_index,condition,first_condition,order,decision_date,return_date,regime,recorded,valid,model_digest,error,latency_seconds,prompt_tokens,output_tokens,stop_reason,request_sha256,response_record_sha256,transport_outcome_unknown,action,confidence,reason_labels,cited_episode_ids,desired_exposure,executed_exposure
r1-llama3.3_70b-s0621-hidden,1,llama3.3:70b,621,hidden,hidden,1,2023-09-13,2023-09-14,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,19.010546557605267,895,41,stop,7566489a8ef2aae660ecc10629c308ea9df77352486ba65192e8b8fd49191d2e,656b787180ae6299ade6c0e96e77e40bc01bd942c70b0f21047dc5faac3b9a70,False,ABSTAIN,0.914682127621086,INSUFFICIENT_EVIDENCE,,0.4550659452846251,0.45
r1-llama3.3_70b-s0621-exposed,1,llama3.3:70b,621,exposed,hidden,2,2023-09-13,2023-09-14,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,10.188397832214832,1418,78,stop,284a956cbcfbaddf42189279f1c098aa71fb97302dafc8f701d10509c8336f9e,6027b4a30f348307c9e9d795059cdb9c751ae9744b79130b27f1e546a3a52fd9,False,ABSTAIN,0.914682127621086,HIGH_VOLATILITY|NEGATIVE_MOMENTUM,episode-000977|episode-000966|episode-000980|episode-000335|episode-000735,0.4550659452846251,0.45
r1-llama3.3_70b-s0759-exposed,1,llama3.3:70b,759,exposed,exposed,3,2024-01-29,2024-01-30,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,10.369549948722124,1422,79,stop,f5e0b4507dfaf2aac1ed237ee3a9ce1085820c953d939768bccc3bc7aa8e7efc,be87f83bf9d5d35a73bfe3898a106dd29713600506face48cd6d54d10d75f29b,False,ABSTAIN,0.7606511410556867,HIGH_VOLATILITY|NEGATIVE_MOMENTUM,episode-001010|episode-001005|episode-001022|episode-000250|episode-000803,0.4567782995775276,0.45
r1-llama3.3_70b-s0759-hidden,1,llama3.3:70b,759,hidden,exposed,4,2024-01-29,2024-01-30,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,5.289218038320541,893,37,stop,5a267fe423719e3544c4d49a3cd1be335f8c1ce438e8598b349e14f96d569b97,055089e4803dc5c1c9d6231a1578a5a7916b04133d75a6a08b83f37ce655bc16,False,ABSTAIN,0.5,INSUFFICIENT_EVIDENCE,,0.4567782995775276,0.45
r1-llama3.3_70b-s0811-exposed,1,llama3.3:70b,811,exposed,exposed,5,2024-03-21,2024-03-22,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.255830870941281,1397,38,stop,8e5a0b89aa620e9ec23f80058ed63fd03fa4bf1a933f0d9590fe29353472ac4a,4705da2b6b4d45d03e247fd5a40ed96aac40c4ddc022187660420fcfa9f4a68d,False,BTC,0.9993517584626784,HIGH_VOLATILITY,,0.4752494132007468,0.5
r1-llama3.3_70b-s0811-hidden,1,llama3.3:70b,811,hidden,exposed,6,2024-03-21,2024-03-22,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.051494382321835,894,45,stop,a83bfc94e4d10db9055900732bb3cefba19d1369a47f2efd3f988a20229296e0,b1cd1e4bc640948413560b4cd08ae3419ff4093de6e39459320a801d7c4433ea,False,BTC,0.9993517584626784,HIGH_VOLATILITY|BULLISH_ROUTER,,0.4752494132007468,0.5
r1-llama3.3_70b-s0331-exposed,1,llama3.3:70b,331,exposed,exposed,7,2022-11-27,2022-11-28,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,9.959334123879671,1409,74,stop,10cacc562fbea74c3be3bc743b6ecf01538cb2c6bae38c99384e6dd5759b2aa3,ca91ea5db335fc11da41d0ec40be3845be253135d8289b9ea271fad20aeb796f,False,CASH,0.9999501575544506,HIGH_VOLATILITY|BEARISH_ROUTER,episode-000694|episode-000693|episode-000695|episode-000689|episode-000350,0.36448042123874586,0.35000000000000003
r1-llama3.3_70b-s0331-hidden,1,llama3.3:70b,331,hidden,exposed,8,2022-11-27,2022-11-28,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.212430166080594,906,46,stop,63f360381fff654d97177ba139b97c18dda2304701feb397421914e6d55fee4f,0db693d49bfae7abb898d2c25d69c3960f30aa57d49412f02cacacbed613f88a,False,CASH,0.9999501575544506,HIGH_VOLATILITY|BEARISH_ROUTER,,0.36448042123874586,0.35000000000000003
r1-llama3.3_70b-s0960-hidden,1,llama3.3:70b,960,hidden,hidden,9,2024-08-17,2024-08-18,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,5.728772137314081,895,42,stop,de3642550677099bfabe4094d138bc9e18eca939f7acebe535798ede3a15c7ce,f0255efa838e4f8c662095f1433998afe7a14e1284e4927caffcfaf3d3f6c673,False,ABSTAIN,0.5572514459983038,INSUFFICIENT_EVIDENCE,,0.4236253250763809,0.4
r1-llama3.3_70b-s0960-exposed,1,llama3.3:70b,960,exposed,hidden,10,2024-08-17,2024-08-18,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,7.542428364977241,1417,50,stop,0a06c6501bccbc6af9f878feccaae38a6ddb0fb522676118d6d2d841d49c4df5,f275a2012abae5595abc22f20c9cba108695f26a3e09dbe4a6491c7a8ac66a1c,False,ABSTAIN,0.698686265433465,HIGH_VOLATILITY|NEGATIVE_MOMENTUM,,0.4236253250763809,0.4
