model,comparison,repeat_a,repeat_b,condition_a,condition_b,state_index,decision_date,regime,all_responses_valid_for_state,advice_disagreement,desired_disagreement,execution_disagreement,abstention_difference,exposure_difference,confidence_absolute_difference,reason_set_disagreement,citation_set_disagreement
llama3.3:70b,within_exposed,1,2,exposed,exposed,0,2021-12-31,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,1,2022-01-01,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,2,2022-01-02,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,3,2022-01-03,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,4,2022-01-04,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,5,2022-01-05,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,6,2022-01-06,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,7,2022-01-07,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,8,2022-01-08,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,9,2022-01-09,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,10,2022-01-10,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,11,2022-01-11,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,12,2022-01-12,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,13,2022-01-13,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,14,2022-01-14,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,15,2022-01-15,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,16,2022-01-16,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,17,2022-01-17,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,18,2022-01-18,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,19,2022-01-19,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,20,2022-01-20,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,21,2022-01-21,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,22,2022-01-22,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,23,2022-01-23,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,24,2022-01-24,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,25,2022-01-25,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,26,2022-01-26,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,27,2022-01-27,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,28,2022-01-28,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,29,2022-01-29,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,30,2022-01-30,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,31,2022-01-31,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,32,2022-02-01,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,33,2022-02-02,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,34,2022-02-03,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,35,2022-02-04,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,36,2022-02-05,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,37,2022-02-06,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,38,2022-02-07,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,39,2022-02-08,bear,True,0,0,0,0,0.0,0.0,0,1
llama3.3:70b,within_exposed,1,2,exposed,exposed,40,2022-02-09,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,41,2022-02-10,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,42,2022-02-11,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,43,2022-02-12,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,44,2022-02-13,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,45,2022-02-14,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,46,2022-02-15,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,47,2022-02-16,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,48,2022-02-17,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,49,2022-02-18,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,50,2022-02-19,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,51,2022-02-20,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,52,2022-02-21,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,53,2022-02-22,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,54,2022-02-23,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,55,2022-02-24,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,56,2022-02-25,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,57,2022-02-26,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,58,2022-02-27,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,59,2022-02-28,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,60,2022-03-01,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,61,2022-03-02,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,62,2022-03-03,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,63,2022-03-04,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,64,2022-03-05,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,65,2022-03-06,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,66,2022-03-07,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,67,2022-03-08,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,68,2022-03-09,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,69,2022-03-10,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,70,2022-03-11,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,71,2022-03-12,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,72,2022-03-13,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,73,2022-03-14,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,74,2022-03-15,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,75,2022-03-16,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,76,2022-03-17,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,77,2022-03-18,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,78,2022-03-19,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,79,2022-03-20,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,80,2022-03-21,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,81,2022-03-22,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,82,2022-03-23,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,83,2022-03-24,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,84,2022-03-25,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,85,2022-03-26,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,86,2022-03-27,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,87,2022-03-28,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,88,2022-03-29,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,89,2022-03-30,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,90,2022-03-31,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,91,2022-04-01,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,92,2022-04-02,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,93,2022-04-03,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,94,2022-04-04,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,95,2022-04-05,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,96,2022-04-06,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,97,2022-04-07,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,98,2022-04-08,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,99,2022-04-09,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,100,2022-04-10,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,101,2022-04-11,mix,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,102,2022-04-12,bear,True,0,0,0,0,0.0,0.0,0,0
llama3.3:70b,within_exposed,1,2,exposed,exposed,103,2022-04-13,mix,True,0,0,0,0,0.0,0.0,0,0
