model,comparison,repeat_a,repeat_b,scope,regime,eligible_states,omitted_invalid_or_missing_pairs,valid_pairs,advice_disagreements,desired_disagreements,execution_disagreements,advice_disagreement_rate,execution_disagreement_rate,conditional_transmission_rate,desired_merges,projection_merges,abstention_difference_pp,exposure_difference_pp
llama3.3:70b,within_exposed,1,2,available_valid_pairs,all,1244,0,1244,0,0,0,0.0,0.0,,0,0,0.0,0.0
llama3.3:70b,within_exposed,1,2,available_valid_pairs,bear,380,0,380,0,0,0,0.0,0.0,,0,0,0.0,0.0
llama3.3:70b,within_exposed,1,2,available_valid_pairs,bull,388,0,388,0,0,0,0.0,0.0,,0,0,0.0,0.0
llama3.3:70b,within_exposed,1,2,available_valid_pairs,mix,476,0,476,0,0,0,0.0,0.0,,0,0,0.0,0.0
llama3.3:70b,within_exposed,1,2,all_responses_valid_states,all,1244,0,1244,0,0,0,0.0,0.0,,0,0,0.0,0.0
llama3.3:70b,within_exposed,1,2,all_responses_valid_states,bear,380,0,380,0,0,0,0.0,0.0,,0,0,0.0,0.0
llama3.3:70b,within_exposed,1,2,all_responses_valid_states,bull,388,0,388,0,0,0,0.0,0.0,,0,0,0.0,0.0
llama3.3:70b,within_exposed,1,2,all_responses_valid_states,mix,476,0,476,0,0,0,0.0,0.0,,0,0,0.0,0.0
llama3.3:70b,within_exposed,1,3,available_valid_pairs,all,1244,0,1244,0,0,0,0.0,0.0,,0,0,0.0,0.0
llama3.3:70b,within_exposed,1,3,available_valid_pairs,bear,380,0,380,0,0,0,0.0,0.0,,0,0,0.0,0.0
llama3.3:70b,within_exposed,1,3,available_valid_pairs,bull,388,0,388,0,0,0,0.0,0.0,,0,0,0.0,0.0
llama3.3:70b,within_exposed,1,3,available_valid_pairs,mix,476,0,476,0,0,0,0.0,0.0,,0,0,0.0,0.0
llama3.3:70b,within_exposed,1,3,all_responses_valid_states,all,1244,0,1244,0,0,0,0.0,0.0,,0,0,0.0,0.0
