model,comparison,metric,complete_states,defined_repeat_pairs,mean,minimum,maximum
llama3.3:70b,within_exposed,advice_disagreement_rate,1244,3,0.0,0.0,0.0
llama3.3:70b,within_exposed,execution_disagreement_rate,1244,3,0.0,0.0,0.0
llama3.3:70b,within_exposed,conditional_transmission_rate,1244,0,,,
llama3.3:70b,within_exposed,abstention_difference_pp,1244,3,0.0,0.0,0.0
llama3.3:70b,within_exposed,exposure_difference_pp,1244,3,0.0,0.0,0.0
llama3.3:70b,within_hidden,advice_disagreement_rate,1244,3,0.0005359056806002144,0.0,0.0008038585209003215
llama3.3:70b,within_hidden,execution_disagreement_rate,1244,3,0.0,0.0,0.0
llama3.3:70b,within_hidden,conditional_transmission_rate,1244,2,0.0,0.0,0.0
llama3.3:70b,within_hidden,abstention_difference_pp,1244,3,0.05359056806002144,0.0,0.08038585209003216
llama3.3:70b,within_hidden,exposure_difference_pp,1244,3,0.0,0.0,0.0
llama3.3:70b,between_contexts,advice_disagreement_rate,1244,3,0.024383708467309754,0.024115755627009645,0.02491961414790997
llama3.3:70b,between_contexts,execution_disagreement_rate,1244,3,0.00964630225080386,0.00964630225080386,0.00964630225080386
llama3.3:70b,between_contexts,conditional_transmission_rate,1244,3,0.3956989247311828,0.3870967741935484,0.4
llama3.3:70b,between_contexts,abstention_difference_pp,1244,3,0.6162915326902465,0.5627009646302251,0.6430868167202572
llama3.3:70b,between_contexts,exposure_difference_pp,1244,3,-0.040192926045016064,-0.040192926045016064,-0.040192926045016064
qwen3:8b,within_exposed,advice_disagreement_rate,1240,3,0.016666666666666666,0.014516129032258065,0.018548387096774192
qwen3:8b,within_exposed,execution_disagreement_rate,1240,3,0.00913978494623656,0.0064516129032258064,0.012096774193548387
qwen3:8b,within_exposed,conditional_transmission_rate,1240,3,0.5401426270991488,0.4444444444444444,0.6521739130434783
qwen3:8b,within_exposed,abstention_difference_pp,1240,3,0.4838709677419355,-0.16129032258064516,0.8870967741935484
qwen3:8b,within_exposed,exposure_difference_pp,1240,3,0.002688172043010752,0.0,0.004032258064516128
qwen3:8b,within_hidden,advice_disagreement_rate,1240,3,0.02795698924731183,0.027419354838709678,0.02903225806451613
qwen3:8b,within_hidden,execution_disagreement_rate,1240,3,0.022043010752688174,0.020967741935483872,0.024193548387096774
qwen3:8b,within_hidden,conditional_transmission_rate,1240,3,0.7875816993464052,0.7647058823529411,0.8333333333333334
qwen3:8b,within_hidden,abstention_difference_pp,1240,3,0.0,0.0,0.0
qwen3:8b,within_hidden,exposure_difference_pp,1240,3,0.0,-0.02419354838709677,0.02419354838709677
qwen3:8b,between_contexts,advice_disagreement_rate,1240,3,0.153494623655914,0.15,0.15725806451612903
qwen3:8b,between_contexts,execution_disagreement_rate,1240,3,0.09999999999999999,0.09596774193548387,0.1032258064516129
qwen3:8b,between_contexts,conditional_transmission_rate,1240,3,0.6513633131629736,0.6397849462365591,0.6578947368421053
qwen3:8b,between_contexts,abstention_difference_pp,1240,3,-9.166666666666666,-9.516129032258064,-8.629032258064516
qwen3:8b,between_contexts,exposure_difference_pp,1240,3,0.17473118279569894,0.15725806451612911,0.1854838709677419
