model,state_index,decision_date,cross_all_nine_pairs_advice_disagreement,cross_all_nine_pairs_execution_disagreement,within_exposed_three_pairs_advice_disagreement,within_exposed_three_pairs_execution_disagreement,within_hidden_three_pairs_advice_disagreement,within_hidden_three_pairs_execution_disagreement,cross_minus_mean_within_advice_disagreement,cross_minus_mean_within_execution_disagreement
llama3.3:70b,0,2021-12-31,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,1,2022-01-01,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,2,2022-01-02,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,3,2022-01-03,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,4,2022-01-04,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,5,2022-01-05,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,6,2022-01-06,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,7,2022-01-07,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,8,2022-01-08,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,9,2022-01-09,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,10,2022-01-10,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,11,2022-01-11,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,12,2022-01-12,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,13,2022-01-13,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,14,2022-01-14,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,15,2022-01-15,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,16,2022-01-16,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,17,2022-01-17,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,18,2022-01-18,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,19,2022-01-19,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,20,2022-01-20,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,21,2022-01-21,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,22,2022-01-22,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,23,2022-01-23,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,24,2022-01-24,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,25,2022-01-25,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,26,2022-01-26,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,27,2022-01-27,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,28,2022-01-28,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,29,2022-01-29,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,30,2022-01-30,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,31,2022-01-31,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,32,2022-02-01,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,33,2022-02-02,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,34,2022-02-03,0,0,0,0,0,0,0.0,0.0
