model,condition,repeat,planned,recorded,valid,invalid_or_missing,BTC_count,BTC_valid_rate,CASH_count,CASH_valid_rate,ABSTAIN_count,ABSTAIN_valid_rate,mean_latency_seconds,mean_executed_exposure
llama3.3:70b,exposed,1,1244,1244,1244,0,321,0.2580385852090032,380,0.3054662379421222,543,0.4364951768488746,8.673277652955695,0.44465434083601285
llama3.3:70b,exposed,2,1244,1244,1244,0,321,0.2580385852090032,380,0.3054662379421222,543,0.4364951768488746,8.67419241878752,0.44465434083601285
llama3.3:70b,exposed,3,1244,1244,1244,0,321,0.2580385852090032,380,0.3054662379421222,543,0.4364951768488746,8.659436872880306,0.44465434083601285
llama3.3:70b,hidden,1,1244,1244,1244,0,337,0.2709003215434084,371,0.2982315112540193,536,0.43086816720257237,5.972036830525414,0.44505627009646304
llama3.3:70b,hidden,2,1244,1244,1244,0,337,0.2709003215434084,372,0.2990353697749196,535,0.430064308681672,5.954367928509376,0.44505627009646304
llama3.3:70b,hidden,3,1244,1244,1244,0,337,0.2709003215434084,372,0.2990353697749196,535,0.430064308681672,5.9476587162248284,0.44505627009646304
qwen3:8b,exposed,1,1244,1244,1242,2,285,0.22946859903381642,78,0.06280193236714976,879,0.7077294685990339,2.586316402321771,0.44778582930756844
qwen3:8b,exposed,2,1244,1244,1241,3,288,0.23207091055600323,86,0.0692989524576954,867,0.6986301369863014,2.5942932836489807,0.44774375503626107
qwen3:8b,exposed,3,1244,1244,1240,4,288,0.23225806451612904,84,0.06774193548387097,868,0.7,2.590337817627529,0.447741935483871
qwen3:8b,hidden,1,1244,1244,1244,0,227,0.182475884244373,29,0.023311897106109324,988,0.7942122186495176,1.5716230690036077,0.44590032154340836
qwen3:8b,hidden,2,1244,1244,1244,0,228,0.1832797427652733,28,0.022508038585209004,988,0.7942122186495176,1.5648579334576653,0.4461414790996785
qwen3:8b,hidden,3,1244,1244,1244,0,225,0.18086816720257234,31,0.02491961414790997,988,0.7942122186495176,1.5722856288820721,0.44590032154340836
