key,repeat,model,state_index,condition,first_condition,order,decision_date,return_date,regime,recorded,valid,model_digest,error,latency_seconds,prompt_tokens,output_tokens,stop_reason,request_sha256,response_record_sha256,transport_outcome_unknown,action,confidence,reason_labels,cited_episode_ids,desired_exposure,executed_exposure
r1-llama3.3_70b-s0884-exposed,1,llama3.3:70b,884,exposed,exposed,1,2024-06-02,2024-06-03,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,23.009728679433465,1426,79,stop,03580849b704c87c082fe56debcb90233badc20a20918e6287a486941039732f,b6f9f35690cbd78f99d6a29fb2e6db23ccd44f12d9be4f6ad35af3d1435caaf4,False,ABSTAIN,0.8954245877506227,HIGH_VOLATILITY|NEGATIVE_MOMENTUM,episode-001246|episode-001247|episode-001122|episode-001241|episode-001131,0.4535147648038835,0.45
r1-llama3.3_70b-s0884-hidden,1,llama3.3:70b,884,hidden,exposed,2,2024-06-02,2024-06-03,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,5.196485046297312,899,37,stop,429ca300c3c39474a93ca503bcc1afe1f98842c0f9cd2e9a1538e4d3db78bfb3,1d73ea5df5f5e74f7f5bd7cd1f82f45a63b0ae3c870f42bae19a515012526b5d,False,ABSTAIN,0.5,INSUFFICIENT_EVIDENCE,,0.4535147648038835,0.45
r1-llama3.3_70b-s0166-hidden,1,llama3.3:70b,166,hidden,hidden,3,2022-06-15,2022-06-16,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,5.881344782188535,901,45,stop,0c7bd1fd9a23b52fe3459706d68734ab0f7b8920fcb7eaf5a70f3fcfe18f7d5d,e4ca95e44ab6142cbf1ddc411c0982fc9376a29926fe255e0c5248c84ec5f71b,False,CASH,0.999999998654752,HIGH_VOLATILITY|BEARISH_ROUTER,,0.40979430844029213,0.4
r1-llama3.3_70b-s0166-exposed,1,llama3.3:70b,166,exposed,hidden,4,2022-06-15,2022-06-16,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,7.88899913802743,1411,55,stop,1d2a0dd0673c2c31bafcd203723a0997416afa46a5e03d8296ade38fa8c7ffef,b55a181f8cc910b8fa9e8f97c47ddd17d53c843745bae4e14d4e802f1c07998c,False,CASH,0.999999998654752,HIGH_VOLATILITY|BEARISH_ROUTER,episode-000529|episode-000530,0.40979430844029213,0.4
r1-llama3.3_70b-s0814-hidden,1,llama3.3:70b,814,hidden,hidden,5,2024-03-24,2024-03-25,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,5.899208514019847,897,44,stop,3f980a419833382cc0682b6c9b81dfe70a66f452dae7456ec4590681c28e3f0f,a90a09aeba467ed7ad0159ef9d1afc0be585f6466fa615832c1a4ef775b31b5a,False,BTC,0.999915955521056,HIGH_VOLATILITY|BULLISH_ROUTER,,0.47524307759205076,0.5
r1-llama3.3_70b-s0814-exposed,1,llama3.3:70b,814,exposed,hidden,6,2024-03-24,2024-03-25,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,7.282831527292728,1438,48,stop,28d1a389c68b7a28fd8d515cbdad8357943bbfa3cdeebf20f555065dcc694e5b,6fff878cf365864607b21ac935723725f837419b5408a6ee57227c8ce29eb61e,False,BTC,0.999915955521056,HIGH_VOLATILITY|BULLISH_ROUTER,episode-001178,0.47524307759205076,0.5
r1-llama3.3_70b-s0449-exposed,1,llama3.3:70b,449,exposed,exposed,7,2023-03-25,2023-03-26,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.164332948625088,1399,37,stop,73a7e57ee1749584b648bf0541bd43a50d06e9830247f36b5cc1dde79fb22885,b735fb9afe8156b8e2c65eabf3d1e3fa86ee58e84319388c2d2dc1f8804663cb,False,ABSTAIN,0.5,INSUFFICIENT_EVIDENCE,,0.469478034843603,0.45
r1-llama3.3_70b-s0449-hidden,1,llama3.3:70b,449,hidden,exposed,8,2023-03-25,2023-03-26,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,5.3598302733153105,896,38,stop,c3a7c7ea793f41d23e723e6968056082f9d34ed3612e87c592d450899547e72b,120bba74c11accd9216ffe51c65bc311dee934b9c8f774db44889a3e05924226,False,BTC,0.7027351666924005,HIGH_VOLATILITY,,0.49600413310142283,0.5
r1-llama3.3_70b-s0695-hidden,1,llama3.3:70b,695,hidden,hidden,9,2023-11-26,2023-11-27,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,5.8327525313943624,895,44,stop,755b2125da79dd4352d480a062d911ed4c59997024f9ab7c94b4867eecb0ad38,6d0341a3ed8f58c1277f6245c195993216057cf253615cb9641745b2eadc5301,False,BTC,0.999445983308852,HIGH_VOLATILITY|BULLISH_ROUTER,,0.48590911941093223,0.5
r1-llama3.3_70b-s0695-exposed,1,llama3.3:70b,695,exposed,hidden,10,2023-11-26,2023-11-27,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,8.490937801077962,1400,60,stop,8fbbd99d9145d82cd2f4c752ec52281370245966fed7167fe21d7210b337151f,ef2c11f9af835bb83596451f15dae25044fdf61c37aa1873a30ba62040a780bc,False,BTC,0.999445983308852,HIGH_VOLATILITY|BULLISH_ROUTER,episode-000837|episode-001056|episode-001057,0.48590911941093223,0.5
