model,comparison,repeat_a,repeat_b,condition_a,condition_b,state_index,decision_date,regime,all_responses_valid_for_state,advice_disagreement,desired_disagreement,execution_disagreement,abstention_difference,exposure_difference,confidence_absolute_difference,reason_set_disagreement,citation_set_disagreement
llama3.3:70b,between_contexts,1,1,exposed,hidden,47,2022-02-16,bear,True,0,0,0,0,0.0,0.0,0,1
llama3.3:70b,between_contexts,1,1,exposed,hidden,166,2022-06-15,bear,True,0,0,0,0,0.0,0.0,0,1
llama3.3:70b,between_contexts,1,1,exposed,hidden,261,2022-09-18,bear,True,0,0,0,0,0.0,0.0,0,1
llama3.3:70b,between_contexts,1,1,exposed,hidden,410,2023-02-14,mix,True,0,0,0,0,0.0,0.03396264840833463,1,1
llama3.3:70b,between_contexts,1,1,exposed,hidden,449,2023-03-25,bull,True,1,1,1,1,-0.04999999999999999,0.20273516669240055,1,0
llama3.3:70b,between_contexts,1,1,exposed,hidden,608,2023-08-31,mix,True,0,0,0,0,0.0,0.009626465559324893,1,0
llama3.3:70b,between_contexts,1,1,exposed,hidden,695,2023-11-26,bull,True,0,0,0,0,0.0,0.0,0,1
llama3.3:70b,between_contexts,1,1,exposed,hidden,814,2024-03-24,bull,True,0,0,0,0,0.0,0.0,0,1
llama3.3:70b,between_contexts,1,1,exposed,hidden,884,2024-06-02,mix,True,0,0,0,0,0.0,0.3954245877506227,1,1
llama3.3:70b,between_contexts,1,1,exposed,hidden,950,2024-08-07,bear,True,0,0,0,0,0.0,0.0,0,1
llama3.3:70b,between_contexts,1,1,exposed,hidden,1032,2024-10-28,mix,True,0,0,0,0,0.0,0.019067009538819568,1,1
llama3.3:70b,between_contexts,1,1,exposed,hidden,1102,2025-01-06,bull,True,0,0,0,0,0.0,0.0,0,0
qwen3:8b,between_contexts,1,1,exposed,hidden,47,2022-02-16,bear,True,1,1,0,-1,0.0,9.405176208621135e-06,1,1
qwen3:8b,between_contexts,1,1,exposed,hidden,166,2022-06-15,bear,True,0,0,0,0,0.0,0.0,1,1
qwen3:8b,between_contexts,1,1,exposed,hidden,261,2022-09-18,bear,True,0,0,0,0,0.0,0.0,1,1
qwen3:8b,between_contexts,1,1,exposed,hidden,410,2023-02-14,mix,True,0,0,0,0,0.0,4.833163010919961e-07,0,1
qwen3:8b,between_contexts,1,1,exposed,hidden,449,2023-03-25,bull,True,0,0,0,0,0.0,0.05404404765355164,1,1
qwen3:8b,between_contexts,1,1,exposed,hidden,608,2023-08-31,mix,True,0,0,0,0,0.0,0.0,1,1
qwen3:8b,between_contexts,1,1,exposed,hidden,695,2023-11-26,bull,True,0,0,0,0,0.0,0.0,1,1
qwen3:8b,between_contexts,1,1,exposed,hidden,814,2024-03-24,bull,True,0,0,0,0,0.0,0.0,0,1
qwen3:8b,between_contexts,1,1,exposed,hidden,884,2024-06-02,mix,True,0,0,0,0,0.0,0.20242458775062278,0,1
qwen3:8b,between_contexts,1,1,exposed,hidden,950,2024-08-07,bear,True,0,0,0,0,0.0,0.0,1,1
qwen3:8b,between_contexts,1,1,exposed,hidden,1032,2024-10-28,mix,True,0,0,0,0,0.0,0.019067009538819568,0,1
qwen3:8b,between_contexts,1,1,exposed,hidden,1102,2025-01-06,bull,True,0,0,0,0,0.0,0.0,0,1
