model,comparison,metric,complete_states,defined_repeat_pairs,mean,minimum,maximum
llama3.3:70b,within_exposed,advice_disagreement_rate,12,0,,,
llama3.3:70b,within_exposed,execution_disagreement_rate,12,0,,,
llama3.3:70b,within_exposed,conditional_transmission_rate,12,0,,,
llama3.3:70b,within_exposed,abstention_difference_pp,12,0,,,
llama3.3:70b,within_exposed,exposure_difference_pp,12,0,,,
llama3.3:70b,within_hidden,advice_disagreement_rate,12,0,,,
llama3.3:70b,within_hidden,execution_disagreement_rate,12,0,,,
llama3.3:70b,within_hidden,conditional_transmission_rate,12,0,,,
llama3.3:70b,within_hidden,abstention_difference_pp,12,0,,,
llama3.3:70b,within_hidden,exposure_difference_pp,12,0,,,
llama3.3:70b,between_contexts,advice_disagreement_rate,12,1,0.08333333333333333,0.08333333333333333,0.08333333333333333
llama3.3:70b,between_contexts,execution_disagreement_rate,12,1,0.08333333333333333,0.08333333333333333,0.08333333333333333
llama3.3:70b,between_contexts,conditional_transmission_rate,12,1,1.0,1.0,1.0
llama3.3:70b,between_contexts,abstention_difference_pp,12,1,8.333333333333334,8.333333333333334,8.333333333333334
llama3.3:70b,between_contexts,exposure_difference_pp,12,1,-0.4166666666666666,-0.4166666666666666,-0.4166666666666666
qwen3:8b,within_exposed,advice_disagreement_rate,12,0,,,
qwen3:8b,within_exposed,execution_disagreement_rate,12,0,,,
qwen3:8b,within_exposed,conditional_transmission_rate,12,0,,,
qwen3:8b,within_exposed,abstention_difference_pp,12,0,,,
qwen3:8b,within_exposed,exposure_difference_pp,12,0,,,
qwen3:8b,within_hidden,advice_disagreement_rate,12,0,,,
qwen3:8b,within_hidden,execution_disagreement_rate,12,0,,,
qwen3:8b,within_hidden,conditional_transmission_rate,12,0,,,
qwen3:8b,within_hidden,abstention_difference_pp,12,0,,,
qwen3:8b,within_hidden,exposure_difference_pp,12,0,,,
qwen3:8b,between_contexts,advice_disagreement_rate,12,1,0.08333333333333333,0.08333333333333333,0.08333333333333333
qwen3:8b,between_contexts,execution_disagreement_rate,12,1,0.0,0.0,0.0
qwen3:8b,between_contexts,conditional_transmission_rate,12,1,0.0,0.0,0.0
qwen3:8b,between_contexts,abstention_difference_pp,12,1,-8.333333333333334,-8.333333333333334,-8.333333333333334
qwen3:8b,between_contexts,exposure_difference_pp,12,1,0.0,0.0,0.0
